ending	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
ego	100	NA	NA	7	NA	NA
ehi	100	NA	NA	1	NA	NA
ela	10.7692307692308	70.7692307692308	18.4615384615385	7	46	12
ele	52.9411764705882	29.4117647058824	17.6470588235294	9	5	3
eli	24.3243243243243	67.5675675675676	8.10810810810811	9	25	3
elo	9.30232558139535	73.2558139534884	17.4418604651163	8	63	15
ema	90	10	NA	9	1	NA
eme	100	NA	NA	7	NA	NA
emi	21.5686274509804	78.4313725490196	NA	11	40	NA
emo	100	NA	NA	168	NA	NA
ena	100	NA	NA	18	NA	NA
ene	33.3333333333333	51.7241379310345	14.9425287356322	29	45	13
eni	85.7142857142857	14.2857142857143	NA	12	2	NA
eno	80	20	NA	12	3	NA
epe	100	NA	NA	3	NA	NA
epi	100	NA	NA	3	NA	NA
era	58.5714285714286	41.4285714285714	NA	41	29	NA
ere	31.5384615384615	68.4615384615385	NA	82	178	NA
eri	62.3376623376623	37.6623376623377	NA	48	29	NA
ero	9.83606557377049	90.1639344262295	NA	24	220	NA
esa	100	NA	NA	23	NA	NA
ese	100	NA	NA	41	NA	NA
esi	75.609756097561	24.390243902439	NA	31	10	NA
eso	100	NA	NA	23	NA	NA
eta	94.7368421052632	5.26315789473684	NA	18	1	NA
ete	100	NA	NA	162	NA	NA
eti	100	NA	NA	17	NA	NA
eto	93.3333333333333	6.66666666666667	NA	14	1	NA
eva	100	NA	NA	159	NA	NA
eve	100	NA	NA	6	NA	NA
evi	36.231884057971	63.768115942029	NA	25	44	NA
evo	100	NA	NA	47	NA	NA
iba	100	NA	NA	1	NA	NA
ibi	100	NA	NA	2	NA	NA
ibo	100	NA	NA	1	NA	NA
ica	7.9646017699115	92.0353982300885	NA	9	104	NA
ice	71.4285714285714	28.5714285714286	NA	25	10	NA
ici	20.2020202020202	79.7979797979798	NA	20	79	NA
ico	6	94	NA	6	94	NA
ida	31.0344827586207	68.9655172413793	NA	9	20	NA
ide	38.8888888888889	61.1111111111111	NA	14	22	NA
idi	41.1764705882353	58.8235294117647	NA	14	20	NA
ido	31.25	68.75	NA	10	22	NA
ifa	100	NA	NA	1	NA	NA
ifo	100	NA	NA	2	NA	NA
iga	66.6666666666667	33.3333333333333	NA	4	2	NA
ige	100	NA	NA	3	NA	NA
igi	100	NA	NA	3	NA	NA
igo	71.4285714285714	28.5714285714286	NA	5	2	NA
ila	45.8333333333333	54.1666666666667	NA	11	13	NA
ile	27.1428571428571	72.8571428571428	NA	19	51	NA
ili	27.4193548387097	72.5806451612903	NA	17	45	NA
ilo	23.8095238095238	76.1904761904762	NA	5	16	NA
ima	6.17283950617284	93.8271604938272	NA	5	76	NA
ime	14	86	NA	7	43	NA
imi	5.06329113924051	94.9367088607595	NA	4	75	NA
imo	2.25563909774436	97.7443609022556	NA	3	130	NA
ina	90.4458598726115	9.55414012738854	NA	142	15	NA
ine	80.672268907563	19.327731092437	NA	96	23	NA
ini	86.875	13.125	NA	139	21	NA
ino	74.703557312253	21.3438735177866	3.95256916996047	189	54	10
ipa	66.6666666666667	33.3333333333333	NA	2	1	NA
ipe	50	50	NA	1	1	NA
ipi	33.3333333333333	66.6666666666667	NA	1	2	NA
ipo	25	75	NA	1	3	NA
ira	100	NA	NA	16	NA	NA
ire	100	NA	NA	124	NA	NA
iri	100	NA	NA	7	NA	NA
iro	100	NA	NA	9	NA	NA
isa	100	NA	NA	9	NA	NA
ise	100	NA	NA	18	NA	NA
isi	66.6666666666667	33.3333333333333	NA	14	7	NA
iso	100	NA	NA	14	NA	NA
ita	76.8518518518518	23.1481481481481	NA	83	25	NA
ite	87.6404494382023	12.3595505617978	NA	78	11	NA
iti	69.6428571428571	30.3571428571429	NA	78	34	NA
ito	86.8613138686131	13.1386861313869	NA	119	18	NA
iva	100	NA	NA	99	NA	NA
ive	100	NA	NA	25	NA	NA
ivi	97.1428571428571	2.85714285714286	NA	34	1	NA
ivo	100	NA	NA	44	NA	NA
izi	100	NA	NA	8	NA	NA
oba	100	NA	NA	1	NA	NA
obe	100	NA	NA	1	NA	NA
oca	55.5555555555556	44.4444444444444	NA	5	4	NA
oce	100	NA	NA	9	NA	NA
oci	12.3076923076923	87.6923076923077	NA	8	57	NA
oco	50	50	NA	4	4	NA
oda	66.6666666666667	33.3333333333333	NA	4	2	NA
ode	80	20	NA	8	2	NA
odi	61.5384615384615	38.4615384615385	NA	8	5	NA
odo	54.5454545454545	45.4545454545455	NA	6	5	NA
ofe	NA	100	NA	NA	1	NA
ofi	NA	100	NA	NA	2	NA
ofo	NA	100	NA	NA	1	NA
oga	66.6666666666667	33.3333333333333	NA	2	1	NA
ogi	50	50	NA	1	1	NA
ogo	33.3333333333333	66.6666666666667	NA	1	2	NA
ohi	100	NA	NA	1	NA	NA
ola	15.929203539823	84.070796460177	NA	18	95	NA
ole	18.6046511627907	81.3953488372093	NA	16	70	NA
oli	13.2743362831858	86.7256637168142	NA	15	98	NA
olo	12.5	87.5	NA	17	119	NA
oma	66.6666666666667	33.3333333333333	NA	2	1	NA
ome	88.8888888888889	11.1111111111111	NA	8	1	NA
omi	15.625	84.375	NA	5	27	NA
omo	57.1428571428571	42.8571428571429	NA	4	3	NA
ona	97.0588235294118	2.94117647058824	NA	33	1	NA
one	92.9032258064516	7.09677419354839	NA	288	22	NA
oni	98.5645933014354	1.43540669856459	NA	206	3	NA
ono	2.04841713221601	97.7653631284916	0.186219739292365	11	525	1
opa	100	NA	NA	1	NA	NA
ope	100	NA	NA	1	NA	NA
opi	75	25	NA	3	1	NA
opo	75	25	NA	3	1	NA
