ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
rze	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rzi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rzo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sca	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	168	37	0	19	0	0	10	0	NA	NA	NA	NA	NA
sce	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	185	186	0	87	0	0	25	0	NA	NA	NA	NA	NA
sci	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	136	94	0	39	0	0	7	0	NA	NA	NA	NA	NA
sco	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	234	177	0	44	0	0	4	0	NA	NA	NA	NA	NA
sfa	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sma	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	20	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
smi	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	35	0	29	0	0	NA	NA	NA	NA	NA	NA	NA
smo	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	10	0	35	0	0	NA	NA	NA	NA	NA	NA	NA
spa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ssa	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	564	74	0	48	0	0	3	0	NA	NA	NA	NA	NA
sse	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	952	358	0	108	0	0	13	0	NA	NA	NA	NA	NA
ssi	100	100	0	100	0	0	50	50	NA	NA	NA	NA	NA	327	157	0	29	0	0	1	1	NA	NA	NA	NA	NA
sso	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	1347	677	0	7	0	0	NA	NA	NA	NA	NA	NA	NA
sta	100	100	0	100	0	0	100	0	100	0	NA	NA	NA	975	432	0	66	0	0	41	0	5	0	NA	NA	NA
ste	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	198	270	0	15	0	0	6	0	NA	NA	NA	NA	NA
