ending	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
lfo	100	NA	NA	1	NA	NA
lga	100	NA	NA	4	NA	NA
lge	100	NA	NA	5	NA	NA
lgi	100	NA	NA	1	NA	NA
lgo	100	NA	NA	5	NA	NA
lla	100	NA	NA	85	NA	NA
lle	100	NA	NA	67	NA	NA
lli	100	NA	NA	79	NA	NA
llo	100	NA	NA	83	NA	NA
lma	100	NA	NA	2	NA	NA
lme	100	NA	NA	3	NA	NA
lmi	100	NA	NA	4	NA	NA
lmo	100	NA	NA	6	NA	NA
lpa	100	NA	NA	3	NA	NA
lpe	100	NA	NA	2	NA	NA
lpi	100	NA	NA	2	NA	NA
lpo	100	NA	NA	1	NA	NA
lsa	100	NA	NA	3	NA	NA
lse	100	NA	NA	12	NA	NA
lsi	100	NA	NA	6	NA	NA
lso	100	NA	NA	3	NA	NA
LSO	100	NA	NA	1	NA	NA
lta	100	NA	NA	25	NA	NA
lte	100	NA	NA	17	NA	NA
lti	100	NA	NA	22	NA	NA
lto	100	NA	NA	26	NA	NA
lva	100	NA	NA	2	NA	NA
lve	100	NA	NA	3	NA	NA
lvi	100	NA	NA	2	NA	NA
lvo	100	NA	NA	1	NA	NA
lza	100	NA	NA	7	NA	NA
lze	100	NA	NA	1	NA	NA
lzi	100	NA	NA	2	NA	NA
lzo	100	NA	NA	3	NA	NA
mba	100	NA	NA	8	NA	NA
mbe	100	NA	NA	6	NA	NA
mbi	100	NA	NA	6	NA	NA
mbo	100	NA	NA	5	NA	NA
mma	100	NA	NA	9	NA	NA
mme	100	NA	NA	5	NA	NA
mmi	100	NA	NA	10	NA	NA
mmo	100	NA	NA	90	NA	NA
mpa	100	NA	NA	5	NA	NA
mpe	100	NA	NA	4	NA	NA
mpi	100	NA	NA	10	NA	NA
mpo	100	NA	NA	6	NA	NA
nca	100	NA	NA	11	NA	NA
nce	100	NA	NA	7	NA	NA
