ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
ube	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ubi	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ubo	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	0	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uca	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uce	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	186	16	0	5	0	0	NA	NA	NA	NA	NA	NA	NA	NA
uci	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uco	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	46	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
uda	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ude	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
udi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
udo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ufa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ufe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ufi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ufo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uga	100	10	90	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	24	1	9	19	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ugi	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ugo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ula	100	0	100	50	50	0	NA	NA	NA	NA	NA	NA	NA	NA	25	0	21	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA
ule	100	43.47826087	56.52173913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	30	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uli	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ulo	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uma	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	21	9	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ume	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	134	57	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
umi	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	46	40	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA
umo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
una	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	139	269	0	1	0	0	7	0	0	NA	NA	NA	NA	NA
une	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	25	183	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
uni	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	222	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uno	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	874	544	0	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA
upa	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	25	0	12	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA
upi	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	18	0	2	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA
upo	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ura	100	99.8245614	0.175438596	100	0	0	100	0	0	100	0	0	NA	NA	132	569	1	148	0	0	120	0	0	3	0	0	NA	NA
ure	100	100	0	100	0	0	100	0	0	100	0	0	NA	NA	130	341	0	68	0	0	9	0	0	2	0	0	NA	NA
uri	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	67	58	0	9	0	0	NA	NA	NA	NA	NA	NA	NA	NA
