ending	B_%PULT_Ty	C_%PULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	P_%PULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	B_nPULT_Ty	C_nPULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	P_nPULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty
nfa	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
nfe	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
nfi	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA
nfo	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
nga	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	2	NA	NA	NA	NA	4	NA	7	NA	NA
nge	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	14	NA	NA
ngi	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	9	NA	NA
ngo	100	NA	100	NA	NA	NA	100	100	NA	100	NA	NA	1	NA	2	NA	NA	NA	1	4	NA	17	NA	NA
nna	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	3	NA	NA
nne	NA	NA	100	NA	NA	NA	100	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	1	14	NA	12	NA	NA
nni	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	12	NA	4	NA	NA
nno	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	153	NA	NA
nsa	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	2	NA	2	NA	NA
nse	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	1	NA	18	NA	NA
nsi	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	2	NA	5	NA	NA
nso	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	2	NA	1	NA	NA
nta	NA	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	NA	NA	20	NA	NA	2	NA	14	NA	38	NA	NA
nte	100	100	100	NA	NA	100	100	100	NA	100	NA	NA	93	1	98	NA	NA	3	3	79	NA	45	NA	NA
nti	100	NA	100	NA	100	100	100	100	NA	100	NA	NA	3	NA	92	NA	3	3	1	130	NA	55	NA	NA
nto	100	100	100	NA	100	100	NA	100	NA	100	NA	NA	10	3	26	NA	3	3	NA	103	NA	29	NA	NA
nza	100	NA	NA	NA	NA	NA	100	100	NA	100	NA	NA	1	NA	NA	NA	NA	NA	1	57	NA	3	NA	NA
nze	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA
nzi	100	100	NA	NA	NA	NA	100	100	NA	100	NA	NA	2	1	NA	NA	NA	NA	2	5	NA	1	NA	NA
nzo	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA
pla	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
pli	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
ppa	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	1	NA	NA	NA	NA	11	NA	7	NA	NA
ppe	100	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	1	NA	1	NA	NA	1	NA	6	NA	3	NA	NA
ppi	NA	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	1	NA	5	NA	4	NA	NA
ppo	100	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	2	NA	1	NA	NA	1	NA	6	NA	2	NA	NA
pra	100	NA	100	NA	NA	NA	100	100	NA	100	NA	NA	1	NA	1	NA	NA	NA	1	1	NA	3	NA	NA
pre	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	1	NA	NA	NA	NA	2	NA	4	NA	NA
