3lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%ULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S7_%PAPULT_Tk	S8_%ULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S10_%APULT_Tk	S11_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S7_nPAPULT_Tk	S8_nULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk	S10_nAPULT_Tk	S11_nPULT_Tk
abs	NA	NA	0	33.33333333	66.66666667	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	4	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abu	NA	NA	0	100	0	0	97.89473684	2.105263158	0	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	76	0	0	93	2	0	0	10	0	0	0	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aca	NA	NA	0	85.71428571	14.28571429	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	1	0	11	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc	16.66666667	83.33333333	2.148798521	97.6663586	0.184842884	2.340740741	85.62962963	12.02962963	0	0.817279626	82.25335668	15.11967309	1.809690601	1.831501832	73.62637363	24.54212454	0	0	50	50	0	NA	NA	NA	NA	NA	NA	NA	1	5	93	4227	8	79	2890	406	0	14	1409	259	31	5	201	67	0	0	2	2	0	NA	NA	NA	NA	NA	NA	NA
ace	0	100	0	72.88135593	27.11864407	0	66.66666667	33.33333333	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	0	14	0	43	16	0	4	2	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA
ach	100	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	99	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aci	0	100	0	6.172839506	93.82716049	57.14285714	14.28571429	28.57142857	0	0	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	17	0	5	76	8	2	4	0	0	14	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acl	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acm	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acn	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aco	NA	NA	27.27272727	63.63636364	9.090909091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	7	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acq	0	100	4.402515723	94.65408805	0.943396226	0.888888889	92.2962963	6.814814815	0	0	75.40983607	24.59016393	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1141	14	301	3	6	623	46	0	0	46	15	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acr	0	100	0	100	0	0	5.405405405	94.59459459	0	0	55.55555556	44.44444444	0	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	18	0	1	0	0	2	35	0	0	10	8	0	NA	NA	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
act	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acu	NA	NA	0	100	0	0	22.44897959	77.55102041	0	0	83.33333333	16.66666667	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	93	0	0	11	38	0	0	10	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ada	3.125	96.875	1.413427562	98.58657244	0	0.746268657	90.29850746	8.955223881	0	0	69.56521739	30.43478261	0	100	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	62	4	279	0	1	121	12	0	0	48	21	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
add	40	60	0.350262697	99.6497373	0	2.873563218	83.90804598	13.2183908	0	0.278551532	97.63231198	1.949860724	0.139275766	0	76.92307692	23.07692308	0	0	66.66666667	33.33333333	0	NA	NA	NA	NA	NA	NA	NA	6	9	2	569	0	5	146	23	0	2	701	14	1	0	10	3	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA
ade	0	100	0.07204611	99.92795389	0	0.618556701	96.49484536	2.886597938	0	0	55.55555556	44.44444444	0	0	94.11764706	5.882352941	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	1	1387	0	3	468	14	0	0	30	24	0	0	16	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adi	33.33333333	66.66666667	2.941176471	5.882352941	91.17647059	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	1	2	31	0	56	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ado	NA	NA	3.333333333	96.66666667	0	1.304347826	92.17391304	6.52173913	0	1.593625498	87.25099602	9.163346614	1.992031873	18.18181818	45.45454545	36.36363636	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	87	0	6	424	30	0	4	219	23	5	2	5	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adr	0	100	0	100	0	0	1.923076923	98.07692308	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	87	0	0	1	51	0	0	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adu	NA	NA	0	98.78787879	1.212121212	0	67.44186047	32.55813953	0	0	92.30769231	7.692307692	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	163	2	0	29	14	0	0	12	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aer	NA	NA	NA	NA	NA	0.809716599	1.214574899	97.9757085	0	0	96.98795181	3.012048193	0	0	22.22222222	77.77777778	0	0	5	95	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	242	0	0	161	5	0	0	10	35	0	0	2	38	0	NA	NA	NA	NA	NA	NA	NA
afa	0	100	NA	NA	NA	0	85.71428571	14.28571429	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	19	NA	NA	NA	0	6	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aff	100	0	8.736842105	91.21052632	0.052631579	2.214714715	90.65315315	7.132132132	0	0.940438871	80.2507837	18.80877743	0	39.0625	51.5625	9.375	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	166	1733	1	59	2415	190	0	6	512	120	0	25	33	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
afg	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
afo	NA	NA	0	84.61538462	15.38461538	0	80	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	11	2	0	4	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
afr	0	100	4.6875	0	95.3125	0	99.25373134	0.746268657	0	NA	NA	NA	NA	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	15	9	0	183	0	133	1	0	NA	NA	NA	NA	0	0	16	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA
aft	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aga	8.333333333	91.66666667	6.382978723	57.44680851	36.17021277	0	81.81818182	18.18181818	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	11	3	27	17	0	9	2	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
age	NA	NA	0.23364486	99.76635514	0	0	86.95652174	13.04347826	0	3.389830508	96.61016949	0	0	0	96.2962963	3.703703704	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	427	0	0	200	30	0	2	57	0	0	0	26	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agg	0	100	1.346153846	98.65384615	0	1.752848379	78.79053462	19.456617	0	20.97378277	62.54681648	16.10486891	0.374531835	0	52.94117647	47.05882353	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	14	1026	0	20	899	222	0	56	167	43	1	0	9	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agh	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	12	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agi	0	100	1.857585139	80.18575851	17.95665635	13.66459627	55.27950311	22.98136646	8.074534161	9.302325581	72.09302326	18.60465116	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	72	6	259	58	22	89	37	13	4	31	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agl	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	50	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agm	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agn	0	100	2.142857143	95.71428571	2.142857143	0	62.5	37.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	3	134	3	0	5	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ago	2.173913043	97.82608696	0.680272109	99.31972789	0	0	99.28571429	0.714285714	0	0	48	52	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	45	3	438	0	0	139	1	0	0	36	39	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agr	0	100	0	100	0	0	28.74251497	71.25748503	0	0	99.02912621	0.970873786	0	0	50	50	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	13	0	41	0	0	48	119	0	0	102	1	0	0	1	1	0	0	13	0	0	NA	NA	NA	NA	NA	NA	NA
agu	100	0	4.166666667	95.83333333	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	1	23	0	0	38	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ahi	0	100	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	27	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aho	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aia	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	15	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aid	NA	NA	67.74193548	32.25806452	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	10	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aie	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aik	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aim	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
air	NA	NA	95.65217391	4.347826087	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	1	0	0	19	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ais	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ait	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	11	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aiu	NA	NA	2.385008518	97.61499148	0	3.454231434	90.8462867	5.699481865	0	0	23.52941176	76.47058824	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	573	0	20	526	33	0	0	8	26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aiz	NA	NA	0	100	0	0	50	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aja	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aje	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aka	NA	NA	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aki	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
akk	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
akr	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
akt	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ala	18.28358209	81.71641791	6	52	42	15.15151515	84.84848485	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	219	3	26	21	5	28	0	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alb	1.400560224	98.59943978	0.407331976	67.51527495	32.07739308	0	94.87179487	5.128205128	0	0	97.22222222	2.777777778	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	352	4	663	315	0	185	10	0	0	35	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alc	79.45619335	20.54380665	0.406338887	99.02478667	0.568874441	0	60.81081081	39.18918919	0	0	60	40	0	0	66.66666667	33.33333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	263	68	10	2437	14	0	45	29	0	0	6	4	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ald	6.086956522	93.91304348	88	12	0	0	75	25	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	108	22	3	0	0	3	1	0	0	7	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ale	34.04255319	65.95744681	0.411522634	99.17695473	0.411522634	0.315457413	98.73817035	0.94637224	0	0	94.73684211	5.263157895	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	31	1	241	1	1	313	3	0	0	18	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alf	0	100	0	100	0	0	100	0	0	0	0	100	0	0	25	75	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	153	0	149	0	0	25	0	0	0	0	6	0	0	1	3	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA
alg	6.451612903	93.5483871	2.564102564	56.41025641	41.02564103	0	94.31818182	5.681818182	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	29	1	22	16	0	83	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
