4lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
acui	NA	83.33333333	16.66666667	NA	NA	5	1	NA
acul	NA	NA	100	NA	NA	NA	1	NA
acum	NA	100	NA	NA	NA	5	NA	NA
acus	NA	NA	100	NA	NA	NA	4	NA
acut	NA	87.5	12.5	NA	NA	7	1	NA
acuz	NA	100	NA	NA	NA	1	NA	NA
adag	5	65	30	NA	1	13	6	NA
adal	NA	100	NA	NA	NA	2	NA	NA
adam	NA	87.5	12.5	NA	NA	7	1	NA
adan	50	50	NA	NA	1	1	NA	NA
adat	5.555555556	72.22222222	22.22222222	NA	2	26	8	NA
adda	NA	100	NA	NA	NA	1	NA	NA
adde	1.886792453	67.9245283	28.30188679	1.886792453	1	36	15	1
addi	3.571428571	85.71428571	10.71428571	NA	1	24	3	NA
addo	3.225806452	87.09677419	9.677419355	NA	2	54	6	NA
addu	NA	100	NA	NA	NA	10	NA	NA
adeg	4.166666667	83.33333333	12.5	NA	1	20	3	NA
adel	NA	85.71428571	14.28571429	NA	NA	6	1	NA
adem	9.090909091	72.72727273	18.18181818	NA	1	8	2	NA
adeo	NA	100	NA	NA	NA	1	NA	NA
adep	NA	100	NA	NA	NA	3	NA	NA
ader	10.52631579	68.42105263	21.05263158	NA	2	13	4	NA
ades	NA	100	NA	NA	NA	11	NA	NA
adeu	NA	100	NA	NA	NA	1	NA	NA
adia	NA	100	NA	NA	NA	3	NA	NA
adib	NA	100	NA	NA	NA	4	NA	NA
adid	NA	NA	100	NA	NA	NA	1	NA
adig	NA	NA	100	NA	NA	NA	1	NA
adil	100	NA	NA	NA	1	NA	NA	NA
adin	NA	100	NA	NA	NA	1	NA	NA
adio	100	NA	NA	NA	1	NA	NA	NA
adip	NA	75	25	NA	NA	3	1	NA
adir	NA	100	NA	NA	NA	5	NA	NA
adit	NA	NA	100	NA	NA	NA	1	NA
adiv	NA	100	NA	NA	NA	1	NA	NA
adoc	NA	100	NA	NA	NA	2	NA	NA
adol	NA	100	NA	NA	NA	7	NA	NA
adom	NA	85.71428571	14.28571429	NA	NA	6	1	NA
adon	33.33333333	66.66666667	NA	NA	1	2	NA	NA
adop	13.04347826	56.52173913	26.08695652	4.347826087	3	13	6	1
ador	NA	80.76923077	19.23076923	NA	NA	21	5	NA
adot	11.53846154	69.23076923	19.23076923	NA	3	18	5	NA
adoz	NA	100	NA	NA	NA	2	NA	NA
adra	NA	100	NA	NA	NA	2	NA	NA
adre	NA	100	NA	NA	NA	1	NA	NA
adri	NA	50	50	NA	NA	4	4	NA
adro	NA	100	NA	NA	NA	1	NA	NA
adua	NA	NA	100	NA	NA	NA	1	NA
adub	NA	100	NA	NA	NA	1	NA	NA
adul	NA	76.19047619	23.80952381	NA	NA	16	5	NA
adun	NA	100	NA	NA	NA	7	NA	NA
adus	NA	100	NA	NA	NA	2	NA	NA
aera	NA	100	NA	NA	NA	5	NA	NA
aere	NA	20	80	NA	NA	1	4	NA
aero	3.571428571	50	46.42857143	NA	1	14	13	NA
afas	NA	50	50	NA	NA	1	1	NA
affa	8.080808081	71.71717172	20.2020202	NA	8	71	20	NA
affe	5.434782609	73.91304348	20.65217391	NA	5	68	19	NA
affi	8.724832215	72.48322148	18.79194631	NA	13	108	28	NA
affl	3.846153846	73.07692308	23.07692308	NA	1	19	6	NA
affo	6	72	22	NA	3	36	11	NA
affr	4.347826087	75.36231884	20.28985507	NA	3	52	14	NA
affu	NA	100	NA	NA	NA	8	NA	NA
afga	NA	NA	100	NA	NA	NA	1	NA
afgh	NA	NA	100	NA	NA	NA	1	NA
afon	NA	NA	100	NA	NA	NA	3	NA
afor	NA	100	NA	NA	NA	2	NA	NA
afos	NA	100	NA	NA	NA	3	NA	NA
afra	NA	NA	100	NA	NA	NA	1	NA
afri	11.11111111	66.66666667	22.22222222	NA	1	6	2	NA
afro	NA	50	50	NA	NA	4	4	NA
afta	NA	100	NA	NA	NA	1	NA	NA
afte	NA	100	NA	NA	NA	1	NA	NA
agad	100	NA	NA	NA	1	NA	NA	NA
agam	NA	NA	100	NA	NA	NA	1	NA
agap	NA	NA	100	NA	NA	NA	2	NA
agar	100	NA	NA	NA	1	NA	NA	NA
agas	NA	100	NA	NA	NA	1	NA	NA
agat	NA	60	40	NA	NA	3	2	NA
agav	NA	NA	100	NA	NA	NA	1	NA
agen	11.11111111	77.77777778	11.11111111	NA	1	7	1	NA
ager	NA	100	NA	NA	NA	1	NA	NA
ages	NA	100	NA	NA	NA	1	NA	NA
agev	5.882352941	70.58823529	23.52941176	NA	1	12	4	NA
agga	NA	91.66666667	8.333333333	NA	NA	11	1	NA
agge	NA	87.5	12.5	NA	NA	7	1	NA
aggh	NA	100	NA	NA	NA	7	NA	NA
aggi	6.837606838	65.81196581	26.4957265	0.854700855	8	77	31	1
aggl	NA	75	25	NA	NA	3	1	NA
aggr	4.597701149	82.75862069	12.64367816	NA	4	72	11	NA
aggu	6.666666667	73.33333333	20	NA	1	11	3	NA
agha	NA	100	NA	NA	NA	1	NA	NA
aghi	NA	100	NA	NA	NA	2	NA	NA
agia	NA	100	NA	NA	NA	4	NA	NA
agib	50	NA	50	NA	1	NA	1	NA
agil	25	25	50	NA	1	1	2	NA
agio	NA	75	25	NA	NA	3	1	NA
agip	NA	100	NA	NA	NA	1	NA	NA
agir	5.555555556	72.22222222	22.22222222	NA	1	13	4	NA
agit	4.761904762	66.66666667	23.80952381	4.761904762	1	14	5	1
agli	NA	100	NA	NA	NA	4	NA	NA
agme	100	NA	NA	NA	1	NA	NA	NA
agna	NA	100	NA	NA	NA	2	NA	NA
agne	NA	100	NA	NA	NA	5	NA	NA
agni	NA	100	NA	NA	NA	1	NA	NA
agno	33.33333333	33.33333333	33.33333333	NA	2	2	2	NA
agog	25	75	NA	NA	1	3	NA	NA
agon	6.666666667	60	33.33333333	NA	1	9	5	NA
agop	NA	100	NA	NA	NA	2	NA	NA
agor	50	50	NA	NA	1	1	NA	NA
agos	NA	100	NA	NA	NA	9	NA	NA
agra	NA	100	NA	NA	NA	4	NA	NA
agre	NA	100	NA	NA	NA	3	NA	NA
agri	NA	66.66666667	33.33333333	NA	NA	10	5	NA
agro	NA	72.72727273	27.27272727	NA	NA	8	3	NA
agru	NA	85.71428571	14.28571429	NA	NA	6	1	NA
agui	NA	100	NA	NA	NA	1	NA	NA
agus	50	50	NA	NA	1	1	NA	NA
aguz	12.5	87.5	NA	NA	1	7	NA	NA
ahil	NA	100	NA	NA	NA	1	NA	NA
ahim	100	NA	NA	NA	1	NA	NA	NA
ahin	NA	100	NA	NA	NA	1	NA	NA
ahio	NA	100	NA	NA	NA	1	NA	NA
aho'	100	NA	NA	NA	1	NA	NA	NA
ahoy	NA	100	NA	NA	NA	1	NA	NA
aiac	NA	100	NA	NA	NA	1	NA	NA
aida	NA	100	NA	NA	NA	1	NA	NA
aidi	100	NA	NA	NA	1	NA	NA	NA
aido	NA	100	NA	NA	NA	1	NA	NA
aiel	NA	100	NA	NA	NA	2	NA	NA
aiko	NA	NA	100	NA	NA	NA	1	NA
aime	50	50	NA	NA	1	1	NA	NA
aimo	NA	100	NA	NA	NA	1	NA	NA
aira	NA	100	NA	NA	NA	2	NA	NA
airb	100	NA	NA	NA	1	NA	NA	NA
airo	NA	100	NA	NA	NA	3	NA	NA
aiss	NA	100	NA	NA	NA	1	NA	NA
aita	NA	100	NA	NA	NA	1	NA	NA
aiut	6.382978723	59.57446809	34.04255319	NA	3	28	16	NA
aizz	NA	66.66666667	33.33333333	NA	NA	2	1	NA
ajel	NA	100	NA	NA	NA	1	NA	NA
akab	NA	100	NA	NA	NA	1	NA	NA
akat	NA	100	NA	NA	NA	1	NA	NA
akir	NA	100	NA	NA	NA	1	NA	NA
akka	NA	NA	100	NA	NA	NA	2	NA
akro	NA	NA	100	NA	NA	NA	1	NA
aktu	NA	100	NA	NA	NA	1	NA	NA
alab	NA	100	NA	NA	NA	5	NA	NA
alac	33.33333333	66.66666667	NA	NA	1	2	NA	NA
alad	NA	50	50	NA	NA	1	1	NA
alag	50	50	NA	NA	1	1	NA	NA
alai	50	50	NA	NA	1	1	NA	NA
alal	50	50	NA	NA	1	1	NA	NA
alam	NA	80	20	NA	NA	4	1	NA
alan	NA	100	NA	NA	NA	2	NA	NA
alar	33.33333333	66.66666667	NA	NA	1	2	NA	NA
alas	NA	100	NA	NA	NA	3	NA	NA
alat	NA	80	20	NA	NA	4	1	NA
alba	6.25	68.75	25	NA	1	11	4	NA
albe	6.818181818	79.54545455	13.63636364	NA	3	35	6	NA
albi	8.333333333	66.66666667	25	NA	1	8	3	NA
albo	NA	87.5	12.5	NA	NA	7	1	NA
albr	NA	100	NA	NA	NA	1	NA	NA
albu	NA	100	NA	NA	NA	4	NA	NA
alca	10	60	30	NA	1	6	3	NA
alce	NA	100	NA	NA	NA	2	NA	NA
alch	NA	57.14285714	42.85714286	NA	NA	4	3	NA
alci	NA	50	50	NA	NA	1	1	NA
alco	NA	66.66666667	33.33333333	NA	NA	12	6	NA
alcu	42.85714286	57.14285714	NA	NA	3	4	NA	NA
alda	NA	100	NA	NA	NA	2	NA	NA
alde	25	50	25	NA	1	2	1	NA
aldi	60	40	NA	NA	3	2	NA	NA
aldo	NA	100	NA	NA	NA	2	NA	NA
aldr	100	NA	NA	NA	1	NA	NA	NA
ale'	100	NA	NA	NA	1	NA	NA	NA
alea	NA	83.33333333	16.66666667	NA	NA	5	1	NA
alec	50	50	NA	NA	1	1	NA	NA
aleg	20	60	20	NA	2	6	2	NA
alem	NA	100	NA	NA	NA	4	NA	NA
alen	33.33333333	66.66666667	NA	NA	1	2	NA	NA
aleo	NA	100	NA	NA	NA	1	NA	NA
alep	NA	100	NA	NA	NA	1	NA	NA
aler	NA	100	NA	NA	NA	1	NA	NA
ales	NA	100	NA	NA	NA	14	NA	NA
alet	NA	100	NA	NA	NA	5	NA	NA
alex	NA	100	NA	NA	NA	4	NA	NA
alfa	NA	63.63636364	36.36363636	NA	NA	7	4	NA
alfe	NA	100	NA	NA	NA	2	NA	NA
alfi	NA	100	NA	NA	NA	7	NA	NA
alfo	NA	100	NA	NA	NA	3	NA	NA
alfr	NA	100	NA	NA	NA	3	NA	NA
alga	NA	100	NA	NA	NA	3	NA	NA
alge	NA	77.77777778	22.22222222	NA	NA	7	2	NA
algh	NA	100	NA	NA	NA	1	NA	NA
algi	20	NA	80	NA	1	NA	4	NA
algo	50	NA	50	NA	1	NA	1	NA
algr	NA	100	NA	NA	NA	1	NA	NA
alha	NA	100	NA	NA	NA	1	NA	NA
ali'	100	NA	NA	NA	1	NA	NA	NA
alia	NA	100	NA	NA	NA	4	NA	NA
alib	NA	66.66666667	33.33333333	NA	NA	2	1	NA
alic	NA	100	NA	NA	NA	6	NA	NA
alid	NA	NA	100	NA	NA	NA	1	NA
alie	NA	78.57142857	21.42857143	NA	NA	11	3	NA
alig	NA	100	NA	NA	NA	2	NA	NA
alim	4.347826087	82.60869565	13.04347826	NA	1	19	3	NA
alin	NA	100	NA	NA	NA	3	NA	NA
alip	NA	100	NA	NA	NA	1	NA	NA
aliq	NA	NA	100	NA	NA	NA	3	NA
alir	NA	100	NA	NA	NA	1	NA	NA
alis	NA	80	20	NA	NA	4	1	NA
alit	NA	40	60	NA	NA	2	3	NA
all'	10	85	5	NA	2	17	1	NA
alla	6.25	79.6875	14.0625	NA	4	51	9	NA
alle	3.289473684	80.92105263	15.78947368	NA	5	123	24	NA
alli	6.060606061	69.6969697	21.21212121	3.03030303	2	23	7	1
allo	5.633802817	70.42253521	22.53521127	1.408450704	4	50	16	1
allu	1.694915254	81.3559322	16.94915254	NA	1	48	10	NA
alma	NA	100	NA	NA	NA	5	NA	NA
alme	NA	100	NA	NA	NA	4	NA	NA
almi	NA	50	50	NA	NA	1	1	NA
almo	NA	66.66666667	33.33333333	NA	NA	2	1	NA
aloe	NA	NA	100	NA	NA	NA	1	NA
alog	NA	NA	100	NA	NA	NA	4	NA
aloi	NA	50	50	NA	NA	1	1	NA
alon	NA	100	NA	NA	NA	4	NA	NA
alop	NA	NA	100	NA	NA	NA	1	NA
alot	NA	100	NA	NA	NA	1	NA	NA
alpa	NA	100	NA	NA	NA	2	NA	NA
alpe	NA	100	NA	NA	NA	4	NA	NA
alph	NA	100	NA	NA	NA	1	NA	NA
alpi	NA	75	25	NA	NA	9	3	NA
alpo	NA	100	NA	NA	NA	1	NA	NA
alqu	NA	100	NA	NA	NA	2	NA	NA
alsa	NA	66.66666667	33.33333333	NA	NA	2	1	NA
alta	9.523809524	85.71428571	4.761904762	NA	2	18	1	NA
alte	5.357142857	82.14285714	10.71428571	1.785714286	3	46	6	1
alti	NA	69.23076923	30.76923077	NA	NA	9	4	NA
alto	9.090909091	86.36363636	4.545454545	NA	2	19	1	NA
altr	14.28571429	85.71428571	NA	NA	3	18	NA	NA
altu	NA	100	NA	NA	NA	2	NA	NA
aluc	NA	100	NA	NA	NA	1	NA	NA
aluj	NA	100	NA	NA	NA	1	NA	NA
alun	NA	100	NA	NA	NA	1	NA	NA
alva	NA	66.66666667	33.33333333	NA	NA	2	1	NA
alve	20	60	20	NA	1	3	1	NA
alvi	50	50	NA	NA	1	1	NA	NA
alza	7.317073171	70.73170732	21.95121951	NA	3	29	9	NA
alze	NA	100	NA	NA	NA	1	NA	NA
alzo	NA	50	50	NA	NA	1	1	NA
amab	25	25	50	NA	1	1	2	NA
amac	NA	100	NA	NA	NA	1	NA	NA
amad	20	80	NA	NA	1	4	NA	NA
amal	7.142857143	71.42857143	14.28571429	7.142857143	1	10	2	1
amam	100	NA	NA	NA	1	NA	NA	NA
aman	NA	85.71428571	14.28571429	NA	NA	6	1	NA
amar	9.230769231	75.38461538	15.38461538	NA	6	49	10	NA
amas	NA	100	NA	NA	NA	2	NA	NA
amat	NA	100	NA	NA	NA	13	NA	NA
amaz	NA	14.28571429	85.71428571	NA	NA	1	6	NA
amba	14.28571429	85.71428571	NA	NA	1	6	NA	NA
ambe	NA	100	NA	NA	NA	2	NA	NA
ambi	4.255319149	85.10638298	10.63829787	NA	2	40	5	NA
ambo	NA	75	25	NA	NA	3	1	NA
ambr	NA	94.11764706	5.882352941	NA	NA	16	1	NA
ambu	NA	100	NA	NA	NA	9	NA	NA
ameb	NA	100	NA	NA	NA	2	NA	NA
amed	NA	100	NA	NA	NA	1	NA	NA
ameh	100	NA	NA	NA	1	NA	NA	NA
amel	NA	100	NA	NA	NA	4	NA	NA
amen	16.66666667	66.66666667	16.66666667	NA	1	4	1	NA
amer	NA	64.70588235	35.29411765	NA	NA	11	6	NA
amet	NA	100	NA	NA	NA	1	NA	NA
amfe	NA	100	NA	NA	NA	1	NA	NA
amia	NA	100	NA	NA	NA	1	NA	NA
amic	NA	82.35294118	17.64705882	NA	NA	14	3	NA
amid	NA	50	50	NA	NA	1	1	NA
amig	NA	100	NA	NA	NA	1	NA	NA
amil	NA	NA	100	NA	NA	NA	2	NA
amin	16.66666667	16.66666667	66.66666667	NA	1	1	4	NA
amir	50	NA	50	NA	1	NA	1	NA
amis	NA	100	NA	NA	NA	1	NA	NA
amle	NA	33.33333333	66.66666667	NA	NA	1	2	NA
amma	4.081632653	78.57142857	17.34693878	NA	4	77	17	NA
amme	4	68	28	NA	1	17	7	NA
ammi	5.194805195	76.62337662	18.18181818	NA	4	59	14	NA
ammo	4.615384615	87.69230769	7.692307692	NA	3	57	5	NA
ammu	4.761904762	61.9047619	33.33333333	NA	1	13	7	NA
amne	NA	66.66666667	33.33333333	NA	NA	2	1	NA
amni	NA	60	40	NA	NA	3	2	NA
amod	NA	100	NA	NA	NA	2	NA	NA
amor	3.703703704	85.18518519	11.11111111	NA	1	23	3	NA
amos	NA	100	NA	NA	NA	1	NA	NA
ampa	NA	100	NA	NA	NA	1	NA	NA
ampe	NA	100	NA	NA	NA	4	NA	NA
ampi	NA	100	NA	NA	NA	6	NA	NA
ampl	3.703703704	70.37037037	22.22222222	3.703703704	1	19	6	1
ampo	NA	100	NA	NA	NA	3	NA	NA
ampu	NA	60	40	NA	NA	3	2	NA
amri	NA	NA	100	NA	NA	NA	1	NA
amst	NA	NA	100	NA	NA	NA	1	NA
amul	NA	100	NA	NA	NA	2	NA	NA
amur	NA	100	NA	NA	NA	1	NA	NA
anab	NA	66.66666667	33.33333333	NA	NA	2	1	NA
anac	NA	42.85714286	57.14285714	NA	NA	3	4	NA
anad	NA	50	50	NA	NA	1	1	NA
anae	NA	NA	100	NA	NA	NA	1	NA
anaf	NA	100	NA	NA	NA	1	NA	NA
anag	NA	45.45454545	54.54545455	NA	NA	5	6	NA
anal	2.43902439	58.53658537	39.02439024	NA	1	24	16	NA
anam	NA	100	NA	NA	NA	1	NA	NA
anan	NA	66.66666667	33.33333333	NA	NA	2	1	NA
anap	NA	100	NA	NA	NA	1	NA	NA
anar	NA	50	50	NA	NA	4	4	NA
anas	NA	85.71428571	14.28571429	NA	NA	6	1	NA
anat	NA	33.33333333	66.66666667	NA	NA	6	12	NA
anba	100	NA	NA	NA	1	NA	NA	NA
anca	NA	100	NA	NA	NA	3	NA	NA
ance	NA	100	NA	NA	NA	5	NA	NA
anch	16.66666667	83.33333333	NA	NA	1	5	NA	NA
anci	NA	100	NA	NA	NA	2	NA	NA
anco	10	65	20	5	2	13	4	1
anda	6.329113924	67.08860759	21.51898734	5.063291139	5	53	17	4
ande	NA	66.66666667	33.33333333	NA	NA	2	1	NA
andi	NA	83.33333333	16.66666667	NA	NA	5	1	NA
ando	12.5	87.5	NA	NA	1	7	NA	NA
andr	5.714285714	74.28571429	20	NA	2	26	7	NA
aned	NA	NA	100	NA	NA	NA	3	NA
anel	NA	85.71428571	14.28571429	NA	NA	6	1	NA
anem	NA	22.22222222	77.77777778	NA	NA	2	7	NA
anes	NA	66.66666667	33.33333333	NA	NA	6	3	NA
anet	NA	100	NA	NA	NA	2	NA	NA
aneu	NA	100	NA	NA	NA	1	NA	NA
anfe	NA	75	25	NA	NA	3	1	NA
anfi	NA	100	NA	NA	NA	6	NA	NA
anfo	NA	33.33333333	66.66666667	NA	NA	1	2	NA
anfr	NA	100	NA	NA	NA	2	NA	NA
ange	7.692307692	23.07692308	69.23076923	NA	1	3	9	NA
angh	NA	100	NA	NA	NA	3	NA	NA
angi	8.333333333	66.66666667	25	NA	1	8	3	NA
angl	NA	73.33333333	26.66666667	NA	NA	11	4	NA
ango	NA	90.90909091	9.090909091	NA	NA	30	3	NA
angr	NA	100	NA	NA	NA	4	NA	NA
angu	6.666666667	86.66666667	6.666666667	NA	1	13	1	NA
ania	NA	100	NA	NA	NA	2	NA	NA
anid	NA	100	NA	NA	NA	1	NA	NA
anie	NA	100	NA	NA	NA	1	NA	NA
anil	NA	100	NA	NA	NA	2	NA	NA
anim	7.142857143	73.80952381	16.66666667	2.380952381	3	31	7	1
anit	NA	100	NA	NA	NA	1	NA	NA
anja	NA	100	NA	NA	NA	2	NA	NA
anka	NA	100	NA	NA	NA	1	NA	NA
anna	9.677419355	87.09677419	3.225806452	NA	3	27	1	NA
anne	5.882352941	85.29411765	8.823529412	NA	2	29	3	NA
anni	NA	78.78787879	18.18181818	3.03030303	NA	26	6	1
anno	3.50877193	84.21052632	10.52631579	1.754385965	2	48	6	1
annu	8.888888889	73.33333333	17.77777778	NA	8	66	16	NA
anoi	NA	100	NA	NA	NA	1	NA	NA
anom	NA	33.33333333	66.66666667	NA	NA	2	4	NA
anon	14.28571429	14.28571429	71.42857143	NA	1	1	5	NA
anor	12.5	37.5	50	NA	1	3	4	NA
ansa	NA	100	NA	NA	NA	4	NA	NA
anse	NA	100	NA	NA	NA	5	NA	NA
ansi	4.545454545	68.18181818	27.27272727	NA	1	15	6	NA
anso	NA	100	NA	NA	NA	2	NA	NA
anta	NA	75	25	NA	NA	6	2	NA
ante	NA	90.625	9.375	NA	NA	29	3	NA
anth	NA	NA	100	NA	NA	NA	1	NA
anti	3.95480226	69.20903955	26.55367232	0.282485876	14	245	94	1
anto	3.571428571	82.14285714	14.28571429	NA	1	23	4	NA
antr	4	44	52	NA	1	11	13	NA
antu	NA	100	NA	NA	NA	1	NA	NA
anul	NA	100	NA	NA	NA	1	NA	NA
anve	NA	100	NA	NA	NA	1	NA	NA
anza	NA	100	NA	NA	NA	1	NA	NA
anzi	21.42857143	78.57142857	NA	NA	3	11	NA	NA
aort	NA	50	50	NA	NA	1	1	NA
aost	NA	100	NA	NA	NA	1	NA	NA
apat	NA	50	50	NA	NA	1	1	NA
aper	NA	91.66666667	8.333333333	NA	NA	11	1	NA
apic	NA	75	25	NA	NA	3	1	NA
apne	NA	100	NA	NA	NA	2	NA	NA
apoc	NA	37.5	62.5	NA	NA	3	5	NA
apod	NA	NA	100	NA	NA	NA	1	NA
apog	NA	100	NA	NA	NA	1	NA	NA
apol	14.28571429	50	35.71428571	NA	2	7	5	NA
apon	NA	100	NA	NA	NA	1	NA	NA
apop	NA	50	50	NA	NA	1	1	NA
apor	NA	100	NA	NA	NA	1	NA	NA
apos	6.25	25	68.75	NA	1	4	11	NA
apot	NA	100	NA	NA	NA	2	NA	NA
appa	3.973509934	84.10596026	11.9205298	NA	6	127	18	NA
appe	3.571428571	73.21428571	23.21428571	NA	2	41	13	NA
appi	6.818181818	84.09090909	9.090909091	NA	3	37	4	NA
appl	7.272727273	63.63636364	25.45454545	3.636363636	4	35	14	2
appo	4.225352113	76.05633803	19.71830986	NA	3	54	14	NA
appr	6.50887574	78.10650888	14.79289941	0.591715976	11	132	25	1
appu	6.25	87.5	6.25	NA	1	14	1	NA
apri	6.779661017	59.3220339	33.89830508	NA	4	35	20	NA
apro	NA	NA	100	NA	NA	NA	1	NA
apua	NA	100	NA	NA	NA	2	NA	NA
apul	NA	50	50	NA	NA	1	1	NA
apuz	NA	100	NA	NA	NA	1	NA	NA
aqui	NA	83.33333333	16.66666667	NA	NA	10	2	NA
arab	NA	46.15384615	53.84615385	NA	NA	6	7	NA
arac	NA	NA	100	NA	NA	NA	1	NA
araf	100	NA	NA	NA	1	NA	NA	NA
arag	14.28571429	71.42857143	14.28571429	NA	1	5	1	NA
arak	NA	100	NA	NA	NA	2	NA	NA
aral	NA	25	75	NA	NA	1	3	NA
aram	50	NA	50	NA	1	NA	1	NA
aran	NA	91.66666667	8.333333333	NA	NA	11	1	NA
arap	100	NA	NA	NA	1	NA	NA	NA
arar	NA	66.66666667	33.33333333	NA	NA	2	1	NA
arat	NA	100	NA	NA	NA	3	NA	NA
araz	NA	100	NA	NA	NA	2	NA	NA
arba	NA	100	NA	NA	NA	1	NA	NA
arbe	NA	100	NA	NA	NA	1	NA	NA
arbi	6.25	75	18.75	NA	1	12	3	NA
arbo	14.28571429	28.57142857	57.14285714	NA	1	2	4	NA
arbu	NA	100	NA	NA	NA	2	NA	NA
arby	NA	100	NA	NA	NA	1	NA	NA
arca	8	56	36	NA	2	14	9	NA
arce	NA	75	25	NA	NA	3	1	NA
arch	1.960784314	60.78431373	37.25490196	NA	1	31	19	NA
arci	NA	73.07692308	26.92307692	NA	NA	19	7	NA
arco	NA	75	25	NA	NA	6	2	NA
arcu	20	80	NA	NA	1	4	NA	NA
arda	NA	100	NA	NA	NA	2	NA	NA
arde	5	75	20	NA	1	15	4	NA
ardi	9.090909091	90.90909091	NA	NA	1	10	NA	NA
ardo	NA	100	NA	NA	NA	2	NA	NA
