CV-structure	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty
CVCCVCVVV	0	100	0	0	0	2	0	0
CVCCVCVVVCCV	0	100	0	0	0	1	0	0
CVCCVCVVVCV	0	100	0	0	0	2	0	0
CVCCVVCCCVCCV	0	100	0	0	0	1	0	0
CVCCVVCCCVCV	0	100	0	0	0	1	0	0
CVCCVVCCCVCVV	0	100	0	0	0	1	0	0
CVCCVVCCCVVVV	0	100	0	0	0	1	0	0
CVCCVVCCVCCV	0	100	0	0	0	5	0	0
CVCCVVCCVCCVCCV	0	100	0	0	0	1	0	0
CVCCVVCCVCCVCV	0	25	75	0	0	2	6	0
CVCCVVCCVCV	0	33.33333333	66.66666667	0	0	4	8	0
CVCCVVCCVCVCCV	0	100	0	0	0	14	0	0
CVCCVVCCVCVCCVV	0	100	0	0	0	1	0	0
CVCCVVCCVCVCV	0	48	48	4	0	12	12	1
CVCCVVCCVCVCVV	0	100	0	0	0	1	0	0
CVCCVVCCVCVV	0	100	0	0	0	8	0	0
CVCCVVCCVCVVCCCV	0	100	0	0	0	1	0	0
CVCCVVCCVVCCVCV	0	0	100	0	0	0	1	0
CVCCVVCCVVCVCCV	0	100	0	0	0	1	0	0
CVCCVVCCVVCVCV	0	100	0	0	0	1	0	0
CVCCVVCVCCV	0	100	0	0	0	5	0	0
CVCCVVCVCCVCCCV	0	100	0	0	0	2	0	0
CVCCVVCVCCVCCV	0	70	30	0	0	7	3	0
CVCCVVCVCCVCV	0	27.27272727	72.72727273	0	0	9	24	0
CVCCVVCVCCVVCV	0	100	0	0	0	1	0	0
CVCCVVCVCV	0	57.57575758	42.42424242	0	0	19	14	0
CVCCVVCVCVCCV	0	100	0	0	0	28	0	0
CVCCVVCVCVCV	0	55.10204082	42.85714286	2.040816327	0	27	21	1
CVCCVVCVCVCVV	0	100	0	0	0	5	0	0
CVCCVVCVCVV	0	100	0	0	0	11	0	0
CVCCVVCVCVVCV	0	100	0	0	0	9	0	0
CVCCVVCVV	0	50	50	0	0	1	1	0
CVCCVVCVVCV	0	100	0	0	0	4	0	0
CVCCVVVCCVCV	0	100	0	0	0	1	0	0
CVCCVVVCV	0	0	0	100	0	0	0	1
CVCCVVVCVCV	0	0	100	0	0	0	1	0
CVCCVVVVCVCV	0	0	100	0	0	0	1	0
CVCCAVCCVCVCV	0	50	50	0	0	1	1	0
CVCCAVCVCCVCCCV	0	100	0	0	0	1	0	0
CVCCAVCVCCVCV	0	100	0	0	0	2	0	0
CVCVCCCVCCV	0	0	100	0	0	0	1	0
CVCVCCCVCCVCCV	0	50	50	0	0	1	1	0
CVCVCCCVCCVCV	0	66.66666667	33.33333333	0	0	10	5	0
CVCVCCCVCCVV	0	100	0	0	0	1	0	0
CVCVCCCVCVCCV	0	93.33333333	6.666666667	0	0	14	1	0
CVCVCCCVCVCV	0	62.5	37.5	0	0	25	15	0
CVCVCCCVCVV	0	100	0	0	0	5	0	0
CVCVCCCVCVVCCV	0	100	0	0	0	1	0	0
CVCVCCCVCVVCV	0	100	0	0	0	13	0	0
CVCVCCCVVCCV	0	100	0	0	0	8	0	0
CVCVCCCVVCV	0	100	0	0	0	6	0	0
CVCVCCCVVCVCV	0	50	50	0	0	3	3	0
CVCVCCCVVCVV	0	100	0	0	0	1	0	0
CVCVCCCVVVCV	0	100	0	0	0	1	0	0
CVCVCCVCCCVCCV	0	100	0	0	0	1	0	0
CVCVCCVCCCVCV	0	100	0	0	0	2	0	0
CVCVCCVCCCVVCV	0	0	100	0	0	0	1	0
CVCVCCVCCVCCCV	0	100	0	0	0	1	0	0
CVCVCCVCCVCCV	0	86.66666667	13.33333333	0	0	39	6	0
CVCVCCVCCVCV	0	44.11764706	54.11764706	1.764705882	0	75	92	3
CVCVCCVCCVV	0	100	0	0	0	2	0	0
CVCVCCVCCVVCCV	0	100	0	0	0	4	0	0
CVCVCCVCCVVCV	0	100	0	0	0	24	0	0
CVCVCCVCCVVV	0	100	0	0	0	1	0	0
CVCVCCVCVCC	0	0	100	0	0	0	1	0
CVCVCCVCVCCCV	0	100	0	0	0	6	0	0
CVCVCCVCVCCCVV	0	100	0	0	0	1	0	0
CVCVCCVCVCCV	0	90.99526066	9.004739336	0	0	192	19	0
CVCVCCVCVCCVV	0	100	0	0	0	7	0	0
CVCVCCVCVCV	0	58.40517241	39.65517241	1.939655172	0	271	184	9
CVCVCCVCVCVV	0	100	0	0	0	16	0	0
CVCVCCVCVV	0	86.76470588	13.23529412	0	0	59	9	0
CVCVCCVCVVCCCV	0	100	0	0	0	1	0	0
CVCVCCVCVVCCV	0	100	0	0	0	5	0	0
CVCVCCVCVVCV	0	100	0	0	0	68	0	0
CVCVCCVCVVV	0	100	0	0	0	2	0	0
CVCVCCVVCCV	0	100	0	0	0	2	0	0
CVCVCCVVCCVCCV	0	66.66666667	33.33333333	0	0	2	1	0
CVCVCCVVCCVCV	0	28.57142857	71.42857143	0	0	4	10	0
CVCVCCVVCCVVCV	0	100	0	0	0	1	0	0
CVCVCCVVCV	0	85.71428571	14.28571429	0	0	12	2	0
CVCVCCVVCVCCV	0	94.73684211	5.263157895	0	0	18	1	0
CVCVCCVVCVCV	0	40	60	0	0	18	27	0
CVCVCCVVCVCVV	0	100	0	0	0	4	0	0
CVCVCCVVV	0	100	0	0	0	2	0	0
CVCVCVCCCVCCV	0	100	0	0	0	4	0	0
CVCVCVCCCVCV	0	66.66666667	33.33333333	0	0	4	2	0
CVCVCVCCCVV	0	100	0	0	0	1	0	0
CVCVCVCCCVVCV	0	0	50	50	0	0	1	1
CVCVCVCCVCCCV	0	75	25	0	0	3	1	0
CVCVCVCCVCCV	0	84.55882353	15.44117647	0	0	115	21	0
CVCVCVCCVCCVV	0	100	0	0	0	2	0	0
CVCVCVCCVCV	0	47.45011086	52.10643016	0.44345898	0	214	235	2
CVCVCVCCVCVV	0	100	0	0	0	7	0	0
CVCVCVCCVV	0	100	0	0	0	9	0	0
CVCVCVCCVVCCV	0	100	0	0	0	11	0	0
CVCVCVCCVVCV	0	95.71428571	4.285714286	0	0	67	3	0
CVCVCVCCVVCVV	0	100	0	0	0	2	0	0
CVCVCVCCVVV	0	100	0	0	0	3	0	0
CVCVCVCVCCCV	0	88.88888889	11.11111111	0	0	8	1	0
CVCVCVCVCCCVV	0	100	0	0	0	1	0	0
CVCVCVCVCCV	0	92.05479452	7.945205479	0	0	336	29	0
CVCVCVCVCCVV	0	100	0	0	0	6	0	0
CVCVCVCVCV	0	61.7679558	35.13812155	3.093922652	0	559	318	28
CVCVCVCVCVV	0	100	0	0	0	35	0	0
CVCVCVCVV	1.204819277	89.15662651	9.638554217	0	1	74	8	0
CVCVCVCVVCCV	0	100	0	0	0	5	0	0
CVCVCVCVVCV	0	98.29545455	1.704545455	0	0	173	3	0
CVCVCVCVVCVV	0	100	0	0	0	2	0	0
CVCVCVVCCV	0	88.23529412	11.76470588	0	0	15	2	0
CVCVCVVCCVCCV	0	100	0	0	0	6	0	0
CVCVCVVCCVCV	0	70.58823529	29.41176471	0	0	12	5	0
CVCVCVVCCVVCCV	0	100	0	0	0	2	0	0
CVCVCVVCV	0	61.53846154	33.33333333	5.128205128	0	24	13	2
CVCVCVVCVCCV	0	92	8	0	0	23	2	0
CVCVCVVCVCV	0	63.63636364	36.36363636	0	0	35	20	0
CVCVCVVCVV	0	100	0	0	0	1	0	0
