ending	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S5_pia_%_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk
ppi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	657	0	99	0	19	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppo	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	2611	0	730	0	142	0	8	0	1	0	NA	NA	NA	NA	NA	NA
ppu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pra	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	725	0	7	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pre	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4921	0	39	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pri	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	380	0	11	0	18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pro	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	117	0	12	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
psi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pso	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pta	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pte	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pti	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	10	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pto	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rba	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	277	0	37	0	22	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbe	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	95	0	28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	186	0	85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbo	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	172	0	118	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rca	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1663	0	797	0	78	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rce	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	97	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rci	0	100	0	54.5801526717557	45.4198473282443	73.2954545454545	26.7045454545455	97.3684210526316	2.63157894736842	100	0	50	50	NA	NA	NA	NA	0	199	0	429	357	258	94	74	2	3	0	1	1	NA	NA	NA	NA
rco	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1051	0	35	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rcu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rda	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	544	0	997	0	16	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA
rde	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	612	0	51	0	17	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
rdi	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	897	0	1831	0	76	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA
rdo	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	918	0	2615	0	190	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA
rdu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rfa	NA	NA	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rfe	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	NA	NA	NA	NA	NA	NA	NA	NA
rfi	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA
rfo	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rga	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	194	0	52	0	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rge	0	100	1.65289256198347	98.3471074380165	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	78	2	119	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rgi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	22	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rgo	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	273	0	387	0	106	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA
rgu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rji	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rka	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rke	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rko	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rku	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rla	0	100	0	83.80187416332	16.1981258366801	72.5714285714286	27.4285714285714	92.1052631578947	7.89473684210526	83.3333333333333	16.6666666666667	NA	NA	NA	NA	NA	NA	0	1058	0	626	121	381	144	105	9	5	1	NA	NA	NA	NA	NA	NA
rle	0	100	0	74.4630071599045	25.5369928400955	77.4468085106383	22.5531914893617	98.3050847457627	1.69491525423729	100	0	NA	NA	NA	NA	NA	NA	0	177	0	312	107	182	53	58	1	1	0	NA	NA	NA	NA	NA	NA
rli	0	100	0	82.0638820638821	17.9361179361179	73.8738738738739	26.1261261261261	86.5384615384615	13.4615384615385	100	0	NA	NA	NA	NA	NA	NA	0	179	0	334	73	246	87	90	14	10	0	NA	NA	NA	NA	NA	NA
rlo	0	100	0	84.1720779220779	15.8279220779221	77.4941995359629	22.5058004640371	93.9890710382514	6.01092896174863	100	0	NA	NA	NA	NA	NA	NA	0	1282	0	1037	195	668	194	172	11	32	0	NA	NA	NA	NA	NA	NA
rma	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1659	0	1069	0	61	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
rme	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	650	0	618	0	59	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
rmi	0	100	0	78.6363636363636	21.3636363636364	82.7464788732394	17.2535211267606	96.8421052631579	3.15789473684211	100	0	100	0	NA	NA	NA	NA	0	710	0	692	188	470	98	92	3	6	0	1	0	NA	NA	NA	NA
rmo	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	406	0	237	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rna	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	358	0	733	0	18	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
rne	0	100	0	89.033189033189	10.966810966811	78.0769230769231	21.9230769230769	90.3614457831325	9.63855421686747	100	0	NA	NA	NA	NA	NA	NA	0	353	0	617	76	203	57	75	8	9	0	NA	NA	NA	NA	NA	NA
rni	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2161	0	547	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rno	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2625	0	5280	0	593	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA
rpa	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpe	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	206	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpi	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	154	NA	NA	NA	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpo	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	771	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rra	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2074	0	303	0	354	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
rre	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	635	0	1157	0	167	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
rri	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	201	0	165	0	29	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA
rro	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	405	0	245	0	24	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
rru	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rsa	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1121	0	770	0	160	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rse	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2481	0	923	0	23	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rsi	0	100	0	77.0205575894114	22.9794424105886	77.1602846492714	22.8397153507286	96.1485557083906	3.85144429160935	95	5	100	0	NA	NA	NA	NA	0	1103	0	2735	816	2277	674	699	28	38	2	4	0	NA	NA	NA	NA
rso	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	4752	0	2082	0	929	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA
rta	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2717	0	1471	0	70	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA
rte	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	7769	0	638	0	228	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
rti	0	100	0	96.5675057208238	3.4324942791762	84.192439862543	15.807560137457	98.6666666666667	1.33333333333333	100	0	100	0	NA	NA	NA	NA	0	1841	0	1688	60	245	46	74	1	2	0	1	0	NA	NA	NA	NA
rto	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	3204	0	4490	0	169	0	124	0	NA	NA	NA	NA	NA	NA	NA	NA
rtu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rva	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	157	0	291	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rve	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	367	0	132	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rvi	0	100	0	72.0930232558139	27.906976744186	71.4285714285714	28.5714285714286	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	138	0	124	48	95	38	18	0	NA	NA	NA	NA	NA	NA	NA	NA
rvo	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	0	16	0	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rza	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1406	0	32	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rze	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	465	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rzi	0	100	0	100	0	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	288	0	35	0	NA	NA	4	0	NA	NA	NA	NA	NA	NA	NA	NA
rzo	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1129	0	35	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sbo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sca	0	100	0	100	0	100	0	100	0	100	0	NA	NA	100	0	NA	NA	0	705	0	487	0	164	0	57	0	4	0	NA	NA	1	0	NA	NA
sce	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	720	0	1483	0	1024	0	327	0	5	0	NA	NA	NA	NA	NA	NA
sci	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	268	0	125	0	24	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
sco	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	649	0	1273	0	281	0	61	0	1	0	NA	NA	NA	NA	NA	NA
scu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sda	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sfa	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sfi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sfo	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sgi	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sha	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
shi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	1	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ska	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ske	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sko	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sla	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
slo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sma	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	66	0	95	0	23	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
smi	0	100	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	0	12	0	74	0	219	0	57	0	13	0	2	0	NA	NA	NA	NA
smo	0	100	0	100	0	100	0	100	0	100	0	100	0	100	0	NA	NA	0	21	0	473	0	1471	0	567	0	169	0	17	0	5	0	NA	NA
