ending	B_%PULT_Ty	B_%APULT_Ty	C_%PULT_Ty	C_%APULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	I_%APULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%PULT_Ty	NU_%APULT_Ty	P_%PULT_Ty	P_%APULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	S_%PAPULT_Ty	V_%ULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	X_%PULT_Ty	X_%APULT_Ty	B_nPULT_Ty	B_nAPULT_Ty	C_nPULT_Ty	C_nAPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	I_nAPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nPULT_Ty	NU_nAPULT_Ty	P_nPULT_Ty	P_nAPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	S_nPAPULT_Ty	V_nULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty	X_nPULT_Ty	X_nAPULT_Ty
oga	39	NA	NA	NA	NA	NA	100	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	76	NA	NA	41.66666667	58.33333333	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	19	NA	NA	5	7	NA	NA	NA
ova	39	NA	NA	NA	NA	NA	72.72727273	27.27272727	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	6	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	NA	NA	13	NA	NA	NA	NA
una	39	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	100	NA	NA	NA	100	NA	100	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	13	NA	NA	12	NA	NA	NA	7	NA	1	NA	NA	NA	1	NA	18	NA	NA	NA	3	NA	NA	1	NA
ado	38	NA	NA	100	NA	NA	100	NA	NA	75	25	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	94.11764706	5.882352941	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	16	NA	NA	3	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	16	1	NA	NA	3	NA	NA	NA	NA
ote	36	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.52631579	84.21052632	5.263157895	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	16	1	NA	NA	3	NA	NA	NA	NA
aca	35	NA	NA	NA	NA	NA	66.66666667	33.33333333	NA	15.38461538	84.61538462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.66666667	58.33333333	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	6	3	NA	2	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	7	NA	NA	4	NA	NA	1	NA
eca	35	NA	NA	NA	NA	NA	87.5	12.5	NA	83.33333333	16.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	85.71428571	14.28571429	NA	NA	NA	NA	NA	NA	NA	NA	7	1	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	6	1	NA	NA	NA
uli	34	NA	NA	NA	NA	NA	44.44444444	55.55555556	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.05263158	78.94736842	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	4	5	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	15	NA	NA	NA	2	NA	NA	NA
ama	33	NA	NA	NA	NA	NA	92.30769231	7.692307692	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.33333333	6.666666667	NA	NA	92.85714286	7.142857143	NA	NA	NA	NA	NA	NA	NA	NA	12	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	1	NA	NA	13	1	NA	NA	NA
igo	33	NA	NA	NA	NA	NA	70	30	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.71428571	14.28571429	NA	NA	83.33333333	16.66666667	NA	NA	NA	NA	NA	NA	NA	NA	14	6	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	NA	NA	5	1	NA	NA	NA
oco	33	100	NA	NA	NA	NA	100	NA	NA	71.42857143	28.57142857	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	89.47368421	10.52631579	NA	NA	33.33333333	66.66666667	NA	NA	NA	4	NA	NA	NA	NA	8	NA	NA	5	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	17	2	NA	NA	1	2	NA	NA	NA
odo	33	100	NA	NA	NA	NA	42.85714286	57.14285714	NA	40	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.85714286	57.14285714	NA	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	12	NA	NA	4	NA	NA	NA	NA
ove	33	100	NA	100	NA	NA	100	NA	NA	50	50	100	NA	100	NA	100	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	NA	100	NA	NA	NA	NA	4	NA	3	NA	NA	5	NA	NA	1	1	1	NA	1	NA	10	NA	NA	NA	NA	NA	8	1	NA	NA	9	NA	NA	NA	NA
uno	33	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	100	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	12	NA	NA	9	NA	NA	NA	9	NA	8	NA	NA	NA	1	NA	9	NA	NA	NA	NA	NA	NA	1	NA
eda	32	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	20	NA	NA	NA	NA
ulo	32	NA	100	NA	NA	NA	40	60	NA	28.57142857	71.42857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.52941176	76.47058824	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	2	3	NA	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	13	NA	NA	NA	3	NA	NA	NA
izi	31	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	1	NA	NA	NA	NA
oca	31	NA	NA	NA	NA	11.11111111	77.77777778	11.11111111	NA	57.14285714	42.85714286	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	75	25	NA	NA	41.66666667	58.33333333	NA	100	NA	NA	NA	NA	NA	1	7	1	NA	4	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	6	2	NA	NA	5	7	NA	1	NA
use	31	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	5.555555556	94.44444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	1	17	NA	NA	NA	NA
iga	30	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.61538462	15.38461538	NA	NA	40	60	NA	100	NA	NA	NA	NA	NA	NA	8	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	2	NA	NA	4	6	NA	1	NA
ume	30	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	4	NA	NA	NA	NA
afo	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.34482759	89.65517241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	26	NA	NA	NA	NA	NA	NA	NA
aso	28	NA	NA	NA	NA	NA	78.57142857	21.42857143	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	10	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	3	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	1	NA	NA	7	NA	NA	NA	NA
oto	28	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	2	NA	NA	4	NA	NA	NA	NA
eci	27	NA	NA	NA	NA	NA	100	NA	NA	50	50	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	10	90	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	NA	NA	2	18	NA	NA	NA
uca	27	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	88.88888889	11.11111111	NA	100	NA	NA	NA	NA	NA	NA	9	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	8	1	NA	1	NA
uce	27	100	NA	NA	NA	NA	85.71428571	14.28571429	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.66666667	33.33333333	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	6	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	NA	15	NA	NA	NA	NA
uma	27	NA	NA	NA	NA	NA	75	25	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	10	NA	NA	77.77777778	22.22222222	NA	NA	NA	NA	NA	NA	NA	NA	6	2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	1	NA	NA	7	2	NA	NA	NA
aga	26	NA	NA	NA	NA	NA	80	20	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	88.88888889	11.11111111	NA	100	NA	NA	NA	NA	NA	NA	8	2	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	8	1	NA	1	NA
ave	26	100	NA	NA	NA	NA	100	NA	NA	88.88888889	11.11111111	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.85714286	7.142857143	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	7	NA	NA	8	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	1	NA	NA	1	NA	NA	NA	NA
iri	26	NA	NA	NA	NA	NA	50	50	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	9	NA	NA	1	NA
oda	26	NA	NA	NA	NA	NA	100	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	81.81818182	18.18181818	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	9	2	NA	NA	NA
udi	26	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	5	NA	NA	NA	NA
ovo	25	NA	NA	NA	NA	NA	100	NA	NA	80	20	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	70	30	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	4	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	7	3	NA	NA	8	NA	NA	NA	NA
ude	25	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	15	NA	NA	NA	NA
adi	24	NA	NA	NA	NA	NA	37.5	62.5	NA	33.33333333	66.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.46153846	61.53846154	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	8	NA	NA	2	NA	NA	NA	NA
uda	24	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	11	NA	NA	NA	NA
igi	23	NA	NA	NA	NA	NA	80	20	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
umi	23	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.23809524	4.761904762	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	1	NA	NA	2	NA	NA	NA	NA
udo	22	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	6	NA	NA	NA	NA
uga	22	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.92307692	23.07692308	NA	NA	85.71428571	14.28571429	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	3	NA	NA	6	1	NA	NA	NA
afi	21	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	16	NA	NA	NA	NA	NA	NA	NA
ego	21	NA	NA	NA	NA	NA	100	NA	NA	NA	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	90	10	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	9	1	NA	NA	NA
ome	21	100	NA	100	NA	50	50	NA	NA	NA	100	100	NA	100	NA	NA	NA	100	NA	NA	6.666666667	80	13.33333333	NA	NA	100	NA	NA	NA	NA	3	NA	3	NA	1	1	NA	NA	NA	2	2	NA	1	NA	NA	NA	1	NA	NA	1	12	2	NA	NA	1	NA	NA	NA	NA
ule	21	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.52941176	76.47058824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	13	NA	NA	NA	NA	NA	NA	NA
agi	19	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	20	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	3	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	3	NA	NA	NA	NA	NA	1	NA
ode	19	NA	NA	NA	NA	NA	100	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	7	NA	NA	NA	NA
eco	18	NA	NA	NA	NA	NA	100	NA	NA	87.5	12.5	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	7	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	3	NA	NA	NA	NA
une	18	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	7	NA	NA	NA	3	NA	NA	NA	NA	NA	1	NA	12	NA	NA	NA	NA	NA	NA	NA	NA
uni	18	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	4	NA	NA	9	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	1	NA	NA	NA	NA
asa	17	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	8	NA	NA	NA	NA
ige	16	NA	NA	NA	NA	NA	50	50	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.33333333	33.33333333	33.33333333	NA	NA	87.5	12.5	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	7	1	NA	NA	NA
ipo	16	NA	NA	NA	NA	NA	57.14285714	42.85714286	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.22222222	77.77777778	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	4	3	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2	NA	NA	NA
oce	16	100	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	66.66666667	33.33333333	NA	NA	NA	2	NA	NA	NA	NA	4	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	2	1	NA	NA	NA
opi	16	NA	NA	NA	NA	NA	50	50	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.66666667	58.33333333	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	7	NA	NA	1	NA	NA	NA	NA
opo	16	100	NA	100	NA	NA	40	60	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	54.54545455	45.45454545	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	2	3	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	6	5	NA	NA	NA	NA	NA	NA	NA
eve	15	100	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	4	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	3	NA	NA	NA	NA
uco	15	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	4	NA	NA	NA	NA
umo	15	NA	NA	NA	NA	NA	100	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	NA	NA	4	NA	NA	NA	NA
apo	14	100	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	20	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	2	NA	NA	NA	NA	NA	NA	NA
eme	13	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	6	NA	NA	NA	5	NA	NA	NA	NA
ipi	13	NA	NA	NA	NA	NA	50	50	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.33333333	66.66666667	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	6	NA	NA	NA	1	NA	NA	NA
afa	12	NA	NA	NA	NA	33.33333333	66.66666667	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.66666667	83.33333333	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	3	NA	NA	NA
ase	12	NA	NA	NA	NA	NA	75	25	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	4	NA	NA	NA	NA
obi	11	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA
ugi	11	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.5	12.5	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	1	NA	NA	2	NA	NA	NA	NA
upo	11	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	2	NA	NA	NA
ika	10	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ipe	10	NA	NA	NA	NA	NA	75	25	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA
ope	10	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.33333333	66.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA	NA	NA	NA	NA	NA	NA
uci	10	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	40	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	NA	NA	3	NA	NA	NA	NA
upi	10	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	33.33333333	66.66666667	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	1	2	NA	NA	NA
aba	9	NA	NA	NA	NA	NA	80	20	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	50	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	1	NA	NA	NA
azi	9	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
ece	9	100	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	75	25	NA	NA	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	3	1	NA	NA	NA
egi	9	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	1	NA	NA	NA	NA
