ending	B_%PULT_Ty	B_%APULT_Ty	C_%PULT_Ty	C_%APULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	I_%APULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%PULT_Ty	NU_%APULT_Ty	P_%PULT_Ty	P_%APULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	S_%PAPULT_Ty	V_%ULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	X_%PULT_Ty	X_%APULT_Ty	B_nPULT_Ty	B_nAPULT_Ty	C_nPULT_Ty	C_nAPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	I_nAPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nPULT_Ty	NU_nAPULT_Ty	P_nPULT_Ty	P_nAPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	S_nPAPULT_Ty	V_nULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty	X_nPULT_Ty	X_nAPULT_Ty
ine	408	100	NA	NA	NA	NA	78.72340426	21.27659574	NA	92.20779221	7.792207792	NA	100	100	NA	100	NA	100	NA	NA	0.330033003	68.97689769	30.69306931	NA	NA	NA	100	NA	NA	NA	4	NA	NA	NA	NA	37	10	NA	71	6	NA	1	1	NA	1	NA	1	NA	NA	1	209	93	NA	NA	NA	1	NA	NA	NA
eri	369	85.71428571	14.28571429	NA	NA	NA	79.46428571	20.53571429	NA	63.63636364	36.36363636	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	73.0941704	26.9058296	NA	NA	36.84210526	63.15789474	NA	NA	NA	6	1	NA	NA	NA	89	23	NA	35	20	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	163	60	NA	NA	7	12	NA	NA	NA
ura	361	100	NA	NA	NA	NA	100	NA	NA	94.11764706	5.882352941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	93.5483871	6.451612903	NA	NA	NA	1	NA	NA	NA	NA	24	NA	NA	16	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	311	NA	NA	NA	29	2	NA	NA	NA
ire	350	NA	NA	NA	NA	NA	90.90909091	9.090909091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.6744186	2.325581395	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84	2	NA	NA	326	NA	NA	NA	NA
ite	343	NA	NA	NA	NA	NA	100	NA	0.71942446	79.85611511	19.42446043	NA	NA	NA	NA	NA	NA	NA	100	NA	0.961538462	63.46153846	35.57692308	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	1	111	27	NA	NA	NA	NA	NA	NA	NA	1	NA	1	66	37	NA	NA	165	NA	NA	NA	NA
ivo	343	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	NA	NA	NA	45	NA	NA	NA	NA
ole	343	33.33333333	66.66666667	NA	NA	4.761904762	42.85714286	52.38095238	NA	8.235294118	91.76470588	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	27.40740741	72.59259259	NA	NA	3.361344538	95.79831933	0.840336134	NA	NA	1	2	NA	NA	1	9	11	NA	7	78	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	37	98	NA	NA	4	114	1	NA	NA
osa	341	100	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	26	NA	NA	300	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	10	NA	NA	NA	NA
oso	325	100	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	14	NA	NA	304	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	NA	6	NA	NA	NA	NA
era	321	66.66666667	33.33333333	NA	100	NA	86.45833333	13.54166667	NA	63.79310345	36.20689655	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.25806452	27.74193548	NA	NA	21.15384615	78.84615385	NA	100	NA	2	1	NA	1	NA	83	13	NA	37	21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	112	43	NA	NA	11	41	NA	2	NA
