ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty
ppo	NA	100	NA	NA	44	NA
ppu	NA	100	NA	NA	1	NA
pra	NA	100	NA	NA	16	NA
pre	NA	100	NA	NA	12	NA
pri	NA	100	NA	NA	17	NA
pro	NA	100	NA	NA	10	NA
psi	NA	100	NA	NA	2	NA
pso	NA	100	NA	NA	2	NA
pta	NA	100	NA	NA	3	NA
pte	NA	100	NA	NA	2	NA
pti	NA	100	NA	NA	3	NA
pto	NA	100	NA	NA	2	NA
rba	NA	100	NA	NA	25	NA
rbe	NA	100	NA	NA	12	NA
rbi	NA	100	NA	NA	16	NA
rbo	NA	100	NA	NA	17	NA
rbu	NA	100	NA	NA	1	NA
rca	NA	100	NA	NA	31	NA
rce	NA	100	NA	NA	9	NA
rci	NA	84.5070422535211	15.4929577464789	NA	300	55
rco	NA	100	NA	NA	33	NA
rcu	NA	100	NA	NA	1	NA
rda	NA	100	NA	NA	57	NA
rde	NA	100	NA	NA	35	NA
rdi	NA	100	NA	NA	97	NA
rdo	NA	100	NA	NA	81	NA
rdu	NA	100	NA	NA	2	NA
rfa	NA	100	NA	NA	3	NA
rfe	NA	100	NA	NA	1	NA
rfi	NA	100	NA	NA	1	NA
rfo	NA	100	NA	NA	1	NA
rga	NA	100	NA	NA	26	NA
rge	4	96	NA	1	24	NA
rgi	NA	100	NA	NA	9	NA
rgo	NA	100	NA	NA	39	NA
rgu	NA	100	NA	NA	1	NA
rji	NA	100	NA	NA	1	NA
rka	NA	100	NA	NA	1	NA
rke	NA	100	NA	NA	1	NA
rko	NA	100	NA	NA	2	NA
rku	NA	100	NA	NA	1	NA
rla	NA	82.6335877862595	17.3664122137405	NA	433	91
rle	NA	82.5613079019074	17.4386920980926	NA	303	64
rli	NA	83.9024390243902	16.0975609756098	NA	344	66
rlo	NA	84.6518987341772	15.3481012658228	NA	535	97
rma	NA	100	NA	NA	43	NA
rme	NA	100	NA	NA	34	NA
