ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
aze	NA	100	NA	NA	NA	1	NA	NA
azi	NA	100	NA	NA	NA	9	NA	NA
azo	NA	100	NA	NA	NA	1	NA	NA
eba	NA	100	NA	NA	NA	3	NA	NA
ebe	NA	100	NA	NA	NA	4	NA	NA
ebi	NA	100	NA	NA	NA	1	NA	NA
ebo	NA	83.3333333333333	16.6666666666667	NA	NA	5	1	NA
eca	NA	91.4285714285714	8.57142857142857	NA	NA	32	3	NA
ece	NA	77.7777777777778	22.2222222222222	NA	NA	7	2	NA
eci	NA	29.6296296296296	70.3703703703704	NA	NA	8	19	NA
eco	NA	94.4444444444444	5.55555555555556	NA	NA	17	1	NA
eda	NA	96.875	3.125	NA	NA	31	1	NA
ede	NA	97.7777777777778	2.22222222222222	NA	NA	44	1	NA
edi	NA	92.8571428571429	7.14285714285714	NA	NA	39	3	NA
edo	NA	97.4358974358974	2.56410256410256	NA	NA	38	1	NA
efa	NA	100	NA	NA	NA	1	NA	NA
efe	NA	100	NA	NA	NA	1	NA	NA
ega	NA	87.8048780487805	12.1951219512195	NA	NA	36	5	NA
ege	NA	100	NA	NA	NA	4	NA	NA
egi	NA	100	NA	NA	NA	9	NA	NA
ego	NA	90.4761904761905	9.52380952380952	NA	NA	19	2	NA
ejo	NA	100	NA	NA	NA	1	NA	NA
eka	NA	NA	100	NA	NA	NA	1	NA
eki	NA	100	NA	NA	NA	1	NA	NA
eko	NA	100	NA	NA	NA	4	NA	NA
ela	NA	26.3681592039801	66.6666666666667	6.96517412935323	NA	53	134	14
ele	NA	37.9032258064516	62.0967741935484	NA	NA	47	77	NA
eli	NA	22.9007633587786	76.3358778625954	0.763358778625954	NA	30	100	1
elo	NA	14.7208121827411	80.7106598984772	4.56852791878173	NA	29	159	9
ema	NA	90.2439024390244	9.75609756097561	NA	NA	37	4	NA
