3lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
aia	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aiu	0	100	3.555555556	96.44444444	0	10	78	12	0	0	60.86956522	39.13043478	0	NA	NA	NA	NA	NA	NA	NA	0	23	8	217	0	15	117	18	0	0	28	18	0	NA	NA	NA	NA	NA	NA	NA
ala	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	0	26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alb	0	100	0	7.575757576	92.42424242	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	61	0	25	305	0	7	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alc	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	0	0	358	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alf	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	13	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alg	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ali	NA	NA	NA	NA	NA	8.333333333	91.66666667	0	0	0	93.75	6.25	0	0	83.33333333	16.66666667	0	NA	NA	NA	NA	NA	NA	NA	NA	1	11	0	0	0	15	1	0	0	5	1	0	NA	NA	NA
all	NA	NA	1.014492754	98.98550725	0	5.128205128	88.88888889	5.982905983	0	1.098901099	86.81318681	12.08791209	0	0	0	100	0	NA	NA	NA	NA	NA	7	683	0	6	104	7	0	1	79	11	0	0	0	3	0	NA	NA	NA
alm	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	118	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alp	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alq	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alt	0	100	0	100	0	0	87.1559633	12.8440367	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	1831	0	88	0	0	95	14	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA
alu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alv	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alz	55.38461538	44.61538462	3.333333333	83.33333333	13.33333333	0	12.5	87.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	29	2	50	8	0	2	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ama	0	100	1.176470588	82.35294118	16.47058824	0	42.85714286	57.14285714	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	32	1	70	14	0	3	4	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA
amb	NA	NA	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	166	0	0	25	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ame	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	47	0	0	NA	NA	NA	NA	NA	NA	NA
ami	NA	NA	0	100	0	0	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	560	0	0	60	0	0	0	0	4	0	NA	NA	NA	NA	NA	NA	NA
amm	NA	NA	13.88888889	86.11111111	0	1.25	77.5	21.25	0	0	14.28571429	85.71428571	0	0	100	0	0	NA	NA	NA	NA	NA	5	31	0	1	62	17	0	0	2	12	0	0	20	0	0	NA	NA	NA
amo	45.45454545	54.54545455	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amp	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ana	NA	NA	0	0	100	0	6.666666667	93.33333333	0	0	42.85714286	57.14285714	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	27	0	1	14	0	0	6	8	0	NA	NA	NA	NA	NA	NA	NA
anc	1.410342512	98.58965749	0	98.82550336	1.174496644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	1468	0	589	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
and	36.14457831	63.85542169	0	97.39027284	2.609727165	0	7.627118644	92.37288136	0	0	0	0	100	NA	NA	NA	NA	NA	NA	NA	180	318	0	821	22	0	9	109	0	0	0	0	14	NA	NA	NA	NA	NA	NA	NA
ane	NA	NA	0	100	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	32	0	0	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
anf	NA	NA	0	63.63636364	36.36363636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ang	NA	NA	0	11.73469388	88.26530612	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	23	173	0	8	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ani	NA	NA	1.298701299	23.37662338	75.32467532	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	18	58	0	487	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
ann	0	100	14.28571429	85.71428571	0	6.818181818	86.36363636	6.818181818	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	769	6	36	0	3	38	3	0	0	0	5	0	NA	NA	NA	NA	NA	NA	NA
ans	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	15	0	12	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ant	NA	NA	0	100	0	18.18181818	71.42857143	10.38961039	0	0	7.142857143	92.85714286	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	172	0	14	55	8	0	0	2	26	0	NA	NA	NA	NA	NA	NA	NA
anz	0	100	43.33333333	56.66666667	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	86	13	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aoo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ape	0	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	48	0	102	0	0	17	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
apo	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
app	25	75	0.980392157	98.7745098	0.245098039	3.985507246	74.27536232	21.73913043	0	0.746268657	72.3880597	26.86567164	0	0	59.09090909	40.90909091	0	NA	NA	NA	1	3	4	403	1	11	205	60	0	1	97	36	0	0	13	9	0	NA	NA	NA
apr	40	60	1.675977654	90.5027933	7.82122905	0	20	80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	51	3	162	14	0	2	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aqu	NA	NA	0	0	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	28	0	16	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ara	NA	NA	0	60.78431373	39.21568627	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	31	20	0	21	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arb	NA	NA	0	43.47826087	56.52173913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arc	0	100	NA	NA	NA	0	100	0	0	0	60.71428571	39.28571429	0	NA	NA	NA	NA	NA	NA	NA	0	34	NA	NA	NA	0	7	0	0	0	17	11	0	NA	NA	NA	NA	NA	NA	NA
ard	0	100	0	80	20	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	8	2	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
are	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arg	NA	NA	0	88.15789474	11.84210526	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	67	9	0	27	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ari	0	100	0	50	50	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	254	0	12	12	NA	NA	NA	NA	0	0	7	0	NA	NA	NA	NA	NA	NA	NA
arm	1.724137931	98.27586207	0	98.11320755	1.886792453	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	1	57	0	52	1	0	16	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA
arn	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	13	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arr	NA	NA	17.09090909	82.90909091	0	4.921700224	84.1163311	10.96196868	0	0.877192982	71.05263158	26.31578947	1.754385965	0	0	100	0	NA	NA	NA	NA	NA	47	228	0	22	376	49	0	1	81	30	2	0	0	5	0	NA	NA	NA
art	0	100	0	66.66666667	33.33333333	0	31.42857143	68.57142857	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	48	0	14	7	0	22	48	0	0	19	0	0	NA	NA	NA	NA	NA	NA	NA
asc	0	100	8.955223881	91.04477612	0	0	91.20879121	8.791208791	0	0	42.85714286	57.14285714	0	NA	NA	NA	NA	NA	NA	NA	0	16	6	61	0	0	83	8	0	0	9	12	0	NA	NA	NA	NA	NA	NA	NA
asf	NA	NA	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
asi	NA	NA	0	27.77777778	72.22222222	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	26	0	1	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
asp	0	100	2.580645161	97.41935484	0	1.807228916	83.13253012	15.06024096	0	0	65.2173913	34.7826087	0	NA	NA	NA	NA	NA	NA	NA	0	7	4	151	0	3	138	25	0	0	15	8	0	NA	NA	NA	NA	NA	NA	NA
ass	0	100	1.734104046	98.26589595	0	3.867403315	77.3480663	18.78453039	0	0	78.04878049	21.95121951	0	0	93.75	6.25	0	NA	NA	NA	0	23	3	170	0	7	140	34	0	0	32	9	0	0	30	2	0	NA	NA	NA
ast	0	100	0	100	0	0	77.33333333	22.66666667	0	0	40	60	0	NA	NA	NA	NA	NA	NA	NA	0	18	0	19	0	0	58	17	0	0	6	9	0	NA	NA	NA	NA	NA	NA	NA
atl	NA	NA	0	100	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	14	0	0	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
atm	NA	NA	NA	NA	NA	0	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	33	0	0	0	0	9	0	NA	NA	NA	NA	NA	NA	NA
ato	NA	NA	0	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	12	0	0	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
atr	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
att	0	100	1.566579634	86.1618799	12.27154047	11.25541126	82.68398268	6.060606061	0	0.877192982	82.45614035	16.66666667	0	0	0	100	0	NA	NA	NA	0	22	6	330	47	52	382	28	0	1	94	19	0	0	0	11	0	NA	NA	NA
aug	NA	NA	7.142857143	76.19047619	16.66666667	0	100	0	0	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	3	32	7	0	7	0	0	NA	NA	NA	NA	0	0	1	0	NA	NA	NA
aul	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aum	NA	NA	10.52631579	89.47368421	0	0	85.71428571	14.28571429	0	0	50	50	0	0	0	100	0	NA	NA	NA	NA	NA	2	17	0	0	18	3	0	0	1	1	0	0	0	1	0	NA	NA	NA
aur	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aus	NA	NA	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	0	0	7	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aut	0	100	0	76.38888889	23.61111111	27.77777778	40.74074074	31.48148148	0	0	0	100	0	0	100	0	0	0	100	NA	0	83	0	110	34	15	22	17	0	0	0	52	0	0	10	0	0	0	9	NA
ava	NA	NA	1.379310345	98.62068966	0	0	83.33333333	16.66666667	0	0	12.5	87.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	143	0	0	20	4	0	0	1	7	0	NA	NA	NA	NA	NA	NA	NA
ave	17.60299625	82.39700375	0	98.54214123	1.45785877	0	10.60606061	89.39393939	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	282	1320	0	2163	32	0	28	236	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
avo	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
avv	NA	NA	16.82242991	83.17757009	0	7.836990596	87.77429467	4.388714734	0	3.06122449	84.69387755	12.24489796	0	0	7.142857143	92.85714286	0	NA	NA	NA	NA	NA	18	89	0	25	280	14	0	3	83	12	0	0	1	13	0	NA	NA	NA
azi	NA	NA	0	100	0	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	65	0	0	6	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
azz	NA	NA	0	100	0	0	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	108	0	0	2	0	0	0	0	2	0	NA	NA	NA	NA	NA	NA	NA
bab	0	100	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	124	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	NA	NA	NA	NA	NA	NA	NA
bac	16.66666667	83.33333333	0	96.07843137	3.921568627	0	66.66666667	33.33333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	25	0	49	2	0	4	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bad	7.692307692	92.30769231	0	95	5	0	33.33333333	66.66666667	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12	0	19	1	0	1	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
baf	0	100	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	17	NA	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bag	1.923076923	98.07692308	0	100	0	0	50	50	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	1	51	0	45	0	0	1	1	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA
