4lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
bari	0	100	0	0	0	17	0	0
baro	0	100	0	0	0	26	0	0
barr	0	100	0	0	0	13	0	0
barz	0	100	0	0	0	18	0	0
basa	0	66.6666666666667	33.3333333333333	0	0	10	5	0
base	0	0	0	100	0	0	0	7
bask	0	100	0	0	0	11	0	0
bass	0	100	0	0	0	155	0	0
bast	7.05394190871369	89.2116182572614	3.7344398340249	0	17	215	9	0
batt	3.09278350515464	73.1958762886598	23.7113402061856	0	6	142	46	0
batu	0	0	100	0	0	0	3	0
baul	0	100	0	0	0	12	0	0
beat	0	100	0	0	0	16	0	0
becc	1.73913043478261	95.6521739130435	2.60869565217391	0	2	110	3	0
befa	0	100	0	0	0	13	0	0
bell	0	85.1735015772871	14.8264984227129	0	0	540	94	0
belv	0	100	0	0	0	11	0	0
benc	100	0	0	0	18	0	0	0
bene	0	40.9638554216867	59.0361445783133	0	0	34	49	0
bens	100	0	0	0	6	0	0	0
bent	0	100	0	0	0	7	0	0
benv	0	100	0	0	0	15	0	0
benz	0	100	0	0	0	24	0	0
bere	2.27272727272727	72.7272727272727	25	0	1	32	11	0
berr	0	100	0	0	0	36	0	0
bers	0	100	0	0	0	9	0	0
best	0	100	0	0	0	69	0	0
betu	0	100	0	0	0	11	0	0
beva	0	100	0	0	0	43	0	0
bian	0	99.2452830188679	0.754716981132076	0	0	263	2	0
bibb	0	100	0	0	0	5	0	0
bibi	0	0	100	0	0	0	4	0
bibl	0	100	0	0	0	13	0	0
bicc	6.38297872340426	93.6170212765958	0	0	3	44	0	0
bici	0	100	0	0	0	32	0	0
bide	0	100	0	0	0	3	0	0
bido	0	100	0	0	0	10	0	0
bigi	0	100	0	0	0	5	0	0
bigl	0	100	0	0	0	61	0	0
bign	100	0	0	0	3	0	0	0
bila	0	100	0	0	0	21	0	0
bimb	0	100	0	0	0	72	0	0
bina	0	100	0	0	0	15	0	0
bion	0	94.4444444444444	5.55555555555556	0	0	17	1	0
birb	0	100	0	0	0	2	0	0
biri	0	100	0	0	0	11	0	0
birr	0	100	0	0	0	10	0	0
bisb	42.8571428571429	42.8571428571429	14.2857142857143	0	3	3	1	0
bisc	0	100	0	0	0	26	0	0
bisn	0	100	0	0	0	9	0	0
biso	4.98338870431894	95.0166112956811	0	0	15	286	0	0
bist	0	90.9090909090909	9.09090909090909	0	0	20	2	0
bizz	0	100	0	0	0	9	0	0
bloc	4	92	4	0	1	23	1	0
bocc	0	100	0	0	0	165	0	0
boll	2.7027027027027	97.2972972972973	0	0	1	36	0	0
bomb	0	100	0	0	0	35	0	0
bont	100	0	0	0	18	0	0	0
borb	31.5789473684211	68.4210526315789	0	0	6	13	0	0
bord	0	100	0	0	0	66	0	0
bore	0	100	0	0	0	7	0	0
borr	0	100	0	0	0	4	0	0
bors	0	100	0	0	0	27	0	0
bosc	0	100	0	0	0	196	0	0
bott	0	100	0	0	0	126	0	0
brac	0	100	0	0	0	122	0	0
bran	0	100	0	0	0	60	0	0
brav	0	92.0454545454545	7.95454545454545	0	0	162	14	0
bret	0	100	0	0	0	6	0	0
brev	0	96	4	0	0	72	3	0
brez	0	100	0	0	0	7	0	0
bric	0	40	60	0	0	8	12	0
brig	0	100	0	0	0	5	0	0
bril	2.27272727272727	81.8181818181818	15.9090909090909	0	1	36	7	0
brin	13.3333333333333	73.3333333333333	13.3333333333333	0	2	11	2	0
brit	0	0	100	0	0	0	7	0
briv	0	0	100	0	0	0	13	0
briz	0	100	0	0	0	3	0	0
broc	0	100	0	0	0	7	0	0
brod	0	100	0	0	0	9	0	0
bron	15.1515151515152	60.6060606060606	24.2424242424242	0	5	20	8	0
bruc	7.40740740740741	81.4814814814815	11.1111111111111	0	4	44	6	0
brun	0	100	0	0	0	33	0	0
brus	0	100	0	0	0	9	0	0
brut	0	98.9247311827957	1.0752688172043	0	0	92	1	0
buan	0	100	0	0	0	13	0	0
