2lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
da	5.822416303	94.1775837	0.192307692	85.57692308	14.23076923	0	83.82352941	11.76470588	4.411764706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	647	1	445	74	0	57	8	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
de	0.705882353	99.29411765	1.933216169	73.63796134	24.4288225	1.018329939	64.9694501	33.60488798	0.407331976	0	76.61290323	10.48387097	12.90322581	0	33.33333333	33.33333333	33.33333333	100	0	NA	3	422	11	419	139	5	319	165	2	0	95	13	16	0	1	1	1	6	0	NA
di	1.630674306	98.36932569	2.578167855	89.13878223	8.283049918	5.455962588	65.15978176	29.30631333	0.077942323	1.657458564	79.55801105	18.2320442	0.552486188	0	24	76	0	NA	NA	NA	37	2232	47	1625	151	70	836	376	1	6	288	66	2	0	6	19	0	NA	NA	NA
dl	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
do	3.548895899	96.4511041	6.094182825	77.28531856	16.62049861	0.666666667	41.66666667	57.33333333	0.333333333	0	28.57142857	71.42857143	0	NA	NA	NA	NA	NA	NA	NA	90	2446	88	1116	240	2	125	172	1	0	4	10	0	NA	NA	NA	NA	NA	NA	NA
dr	0	100	0	91.66666667	8.333333333	0	12.5	87.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	52	0	11	1	0	1	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
du	1.291989664	98.70801034	0.359389039	99.01168014	0.628930818	0	91.37931034	8.620689655	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	5	382	4	1102	7	0	53	5	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
eb	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ec	0	100	0	10.66666667	89.33333333	0	69.23076923	30.76923077	0	0	67.21311475	32.78688525	0	NA	NA	NA	NA	NA	NA	NA	0	507	0	24	201	0	36	16	0	0	41	20	0	NA	NA	NA	NA	NA	NA	NA
ed	NA	NA	0	0	100	1.428571429	80	18.57142857	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	7	1	56	13	0	0	22	0	0	NA	NA	NA	NA	NA	NA	NA
ef	NA	NA	0	100	0	0	100	0	0	0	0	100	0	0	88.88888889	11.11111111	0	NA	NA	NA	NA	NA	0	57	0	0	18	0	0	0	0	1	0	0	8	1	0	NA	NA	NA
eg	0	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	180	0	18	0	0	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eh	0	100	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	277	5	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
el	0	100	0	100	0	0	77.55905512	22.44094488	0	7.751937984	63.56589147	28.68217054	0	0	16.66666667	83.33333333	0	0	100	NA	0	6	0	42	0	0	197	57	0	10	82	37	0	0	1	5	0	0	7	NA
em	NA	NA	5.714285714	94.28571429	0	0	85.33333333	14.66666667	0	0	91.66666667	8.333333333	0	NA	NA	NA	NA	0	100	NA	NA	NA	2	33	0	0	64	11	0	0	11	1	0	NA	NA	NA	NA	0	1	NA
en	31.33333333	68.66666667	1.857585139	93.49845201	4.643962848	0	82.19178082	17.80821918	0	0	100	0	0	0	100	0	0	NA	NA	NA	47	103	6	302	15	0	120	26	0	0	7	0	0	0	11	0	0	NA	NA	NA
ep	NA	NA	0	54.32098765	45.67901235	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	37	0	15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eq	NA	NA	NA	NA	NA	0	81.94444444	18.05555556	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	13	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA
er	0	100	0	100	0	0	100	0	0	0	83.33333333	0	16.66666667	0	100	0	0	NA	NA	NA	0	157	0	129	0	0	23	0	0	0	5	0	1	0	1	0	0	NA	NA	NA
es	5.645582854	94.35441715	2.58780037	39.88909427	57.52310536	4.701627486	65.28028933	30.01808318	0	0.571428571	77.71428571	20.57142857	1.142857143	0	92.59259259	7.407407407	0	NA	NA	NA	432	7220	70	1079	1556	26	361	166	0	1	136	36	2	0	25	2	0	NA	NA	NA
et	87.5	12.5	0	100	0	0	46.875	53.125	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77	11	0	49	0	0	15	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eu	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	32	0	0	0	5	0	0	NA	NA	NA	NA	NA	NA	NA
ev	0	100	1.19047619	86.9047619	11.9047619	4	74.66666667	18.66666667	2.666666667	0	80	0	20	0	100	0	0	NA	NA	NA	0	3	1	73	10	3	56	14	2	0	20	0	5	0	27	0	0	NA	NA	NA
ex	0	100	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	0	5	0	0	NA	NA	NA	NA	NA	NA	NA
fa	5.075630252	94.92436975	0.675675676	78.78378378	20.54054054	1.515151515	67.53246753	30.3030303	0.649350649	0	33.33333333	61.53846154	5.128205128	0	50	50	0	0	100	NA	151	2824	10	1166	304	7	312	140	3	0	13	24	2	0	7	7	0	0	1	NA
FA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fe	9.259259259	90.74074074	0.875273523	86.21444201	12.91028446	15.78947368	48.68421053	35.52631579	0	0	42.85714286	57.14285714	0	NA	NA	NA	NA	NA	NA	NA	35	343	4	394	59	24	74	54	0	0	3	4	0	NA	NA	NA	NA	NA	NA	NA
fi	6.833036245	93.16696376	1.670644391	92.84009547	5.489260143	0	76.05633803	23.94366197	0	0	37.5	62.5	0	NA	NA	NA	NA	NA	NA	NA	115	1568	14	778	46	0	270	85	0	0	9	15	0	NA	NA	NA	NA	NA	NA	NA
fl	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	35	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fo	0.325945241	99.67405476	0.561797753	83.28651685	16.15168539	0	67.17557252	32.82442748	0	0.934579439	69.1588785	29.90654206	0	0	81.81818182	18.18181818	0	NA	NA	NA	5	1529	4	593	115	0	88	43	0	1	74	32	0	0	9	2	0	NA	NA	NA
fr	0.618046972	99.38195303	0	85.26570048	14.73429952	0	93.33333333	6.666666667	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	5	804	0	353	61	0	56	4	0	0	0	22	0	NA	NA	NA	NA	NA	NA	NA
fu	1.578947368	98.42105263	1.453488372	93.60465116	4.941860465	2.06185567	77.31958763	20.6185567	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	12	748	5	322	17	2	75	20	0	0	7	0	0	NA	NA	NA	NA	NA	NA	NA
ga	0	100	4.504504505	80.18018018	15.31531532	0	92.30769231	7.692307692	0	0	14.28571429	85.71428571	0	NA	NA	NA	NA	NA	NA	NA	0	672	5	89	17	0	84	7	0	0	1	6	0	NA	NA	NA	NA	NA	NA	NA
ge	6.158357771	93.84164223	0	70.35928144	29.64071856	0	95.51020408	4.489795918	0	8.450704225	50.70422535	40.84507042	0	NA	NA	NA	NA	NA	NA	NA	21	320	0	235	99	0	234	11	0	6	36	29	0	NA	NA	NA	NA	NA	NA	NA
gh	0	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	74	0	31	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gi	2.621919245	97.37808076	2.135561746	77.62302693	20.24141133	0	82.57918552	17.19457014	0.226244344	0	66.66666667	29.62962963	3.703703704	0	0	100	0	NA	NA	NA	50	1857	23	836	218	0	365	76	1	0	18	8	1	0	0	2	0	NA	NA	NA
gl	0	100	0	45.16129032	54.83870968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	34	0	14	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gn	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
go	2.105263158	97.89473684	0	81.48148148	18.51851852	0	56.8627451	43.1372549	0	0	92.85714286	7.142857143	0	NA	NA	NA	NA	NA	NA	NA	4	186	0	66	15	0	29	22	0	0	13	1	0	NA	NA	NA	NA	NA	NA	NA
gr	3.655107779	96.34489222	3.8647343	84.05797101	12.07729469	0	50.94339623	49.05660377	0	0	50	50	0	NA	NA	NA	NA	NA	NA	NA	78	2056	8	174	25	0	54	52	0	0	1	1	0	NA	NA	NA	NA	NA	NA	NA
gu	7.206068268	92.79393173	1.339285714	92.85714286	5.803571429	1.492537313	37.31343284	58.20895522	2.985074627	0	58.33333333	41.66666667	0	NA	NA	NA	NA	NA	NA	NA	57	734	6	416	26	1	25	39	2	0	7	5	0	NA	NA	NA	NA	NA	NA	NA
ho	55.55555556	44.44444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
id	0	100	0.938967136	97.18309859	1.877934272	14.81481481	55.55555556	29.62962963	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	11	2	207	4	8	30	16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ie	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ig	NA	NA	14.28571429	85.71428571	0	0	50	50	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	0	0	5	5	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA
ii	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	57	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
il	NA	NA	0	100	0	9.302325581	60.46511628	30.23255814	0	0	94.68085106	1.063829787	4.255319149	0	88.88888889	11.11111111	0	NA	NA	NA	NA	NA	0	14	0	4	26	13	0	0	89	1	4	0	16	2	0	NA	NA	NA
im	0	100	4.049844237	95.3271028	0.62305296	1.764705882	78.67647059	19.26470588	0.294117647	0	65.32846715	34.67153285	0	0	65.89147287	34.10852713	0	NA	NA	NA	0	28	13	306	2	12	535	131	2	0	179	95	0	0	85	44	0	NA	NA	NA
in	60	40	3.329416373	93.06698002	3.603603604	3.143812709	82.0735786	14.51505017	0.267558528	0.144300144	68.10966811	31.45743146	0.288600289	0	39.66942149	59.50413223	0.826446281	35.71428571	64.28571429	NA	9	6	85	2376	92	47	1227	217	4	1	472	218	2	0	48	72	1	5	9	NA
io	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ip	NA	NA	NA	NA	NA	0	0	100	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	27	0	0	0	8	0	NA	NA	NA	NA	NA	NA	NA
ir	0	100	100	0	0	0	91.66666667	0	8.333333333	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	8	2	0	0	0	11	0	1	0	9	0	0	NA	NA	NA	NA	NA	NA	NA
is	0	100	0	36.18090452	63.81909548	0.917431193	87.1559633	11.9266055	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	72	127	1	95	13	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
it	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	86	0	0	0	8	0	0	NA	NA	NA	NA	NA	NA	NA
je	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ju	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
la	17.88990826	82.11009174	1.118012422	85.0931677	13.78881988	0.390625	73.4375	25.78125	0.390625	0	71.18644068	28.81355932	0	NA	NA	NA	NA	NA	NA	NA	156	716	9	685	111	1	188	66	1	0	42	17	0	NA	NA	NA	NA	NA	NA	NA
le	2.559726962	97.44027304	0.417246175	65.64673157	33.93602225	0	82.30769231	17.69230769	0	0	84.21052632	15.78947368	0	NA	NA	NA	NA	NA	NA	NA	15	571	3	472	244	0	107	23	0	0	16	3	0	NA	NA	NA	NA	NA	NA	NA
li	0.643776824	99.35622318	9.037900875	25.0728863	65.88921283	3.03030303	81.06060606	8.333333333	7.575757576	0	57.69230769	42.30769231	0	0	0	100	0	NA	NA	NA	3	463	31	86	226	4	107	11	10	0	15	11	0	0	0	1	0	NA	NA	NA
lo	0	100	0	92.12328767	7.876712329	27.65957447	70.21276596	2.127659574	0	0	70	30	0	NA	NA	NA	NA	NA	NA	NA	0	933	0	269	23	13	33	1	0	0	7	3	0	NA	NA	NA	NA	NA	NA	NA
lu	0	100	20.8	52	27.2	0	65.34653465	32.67326733	1.98019802	0	0	100	0	0	0	100	0	NA	NA	NA	0	1693	26	65	34	0	66	33	2	0	0	1	0	0	0	1	0	NA	NA	NA
ma	2.611806798	97.3881932	2.426916713	75.0689465	22.50413679	0	73.99328859	25.5033557	0.503355705	1.538461538	47.69230769	49.23076923	1.538461538	0	100	0	0	NA	NA	NA	73	2722	44	1361	408	0	441	152	3	1	31	32	1	0	9	0	0	NA	NA	NA
me	4.73399459	95.26600541	2.377179081	47.86053883	49.76228209	5.396825397	64.44444444	28.57142857	1.587301587	0.854700855	88.03418803	10.25641026	0.854700855	0	80	20	0	NA	NA	NA	105	2113	15	302	314	17	203	90	5	1	103	12	1	0	4	1	0	NA	NA	NA
mi	0.979886539	99.02011346	0.373599004	89.04109589	10.58530511	0	76.63817664	23.36182336	0	0	13.63636364	86.36363636	0	NA	NA	NA	NA	NA	NA	NA	19	1920	3	715	85	0	269	82	0	0	3	19	0	NA	NA	NA	NA	NA	NA	NA
mo	1.448040886	98.55195911	3.441494592	88.29891839	8.259587021	0	69.56521739	29.56521739	0.869565217	0	75.55555556	17.77777778	6.666666667	NA	NA	NA	NA	NA	NA	NA	34	2314	35	898	84	0	160	68	2	0	34	8	3	NA	NA	NA	NA	NA	NA	NA
mu	1.086956522	98.91304348	0.867052023	39.30635838	59.8265896	0	70	30	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	3	273	3	136	207	0	56	24	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA
na	0	100	0.446428571	86.60714286	12.94642857	2.202643172	79.29515419	18.50220264	0	0	87.85714286	12.14285714	0	NA	NA	NA	NA	NA	NA	NA	0	407	2	388	58	5	180	42	0	0	123	17	0	NA	NA	NA	NA	NA	NA	NA
ne	13.69047619	86.30952381	0.14084507	97.88732394	1.971830986	11.66666667	88.33333333	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	69	435	1	695	14	14	106	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA
ni	1.298701299	98.7012987	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	380	0	97	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
