CV-structure	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk
CCVVCVCVCCVVCV	0	100	0	0	0	1	0	0
CCVVCVCVCV	0	73.68421053	26.31578947	0	0	14	5	0
CCVVCVCVCVCCV	0	100	0	0	0	24	0	0
CCVVCVCVCVCV	0	100	0	0	0	64	0	0
CCVVCVCVCVV	0	100	0	0	0	13	0	0
CCVVCVCVVCV	0	100	0	0	0	7	0	0
CCVVCVVCVV	0	100	0	0	0	1	0	0
CCVVVCCVCCVCV	0	0	100	0	0	0	1	0
CCVVVCVVCVCCV	0	100	0	0	0	2	0	0
CVCCCCVCVCCVCV	0	0	100	0	0	0	2	0
CVCCCVCCCVCVCCV	0	100	0	0	0	1	0	0
CVCCCVCCCVVVVCV	0	100	0	0	0	1	0	0
CVCCCVCCVCCVCCV	0	100	0	0	0	6	0	0
CVCCCVCCVCCVCCVV	0	100	0	0	0	9	0	0
CVCCCVCCVCCVCV	0	63.91752577	36.08247423	0	0	62	35	0
CVCCCVCCVCCVCVV	0	100	0	0	0	34	0	0
CVCCCVCCVCCVVCV	0	92.30769231	7.692307692	0	0	24	2	0
CVCCCVCCVCVCCV	0	100	0	0	0	88	0	0
CVCCCVCCVCVCV	0	42.85714286	57.14285714	0	0	81	108	0
CVCCCVCCVCVCVV	0	100	0	0	0	1	0	0
CVCCCVCCVCVV	0	50	50	0	0	1	1	0
CVCCCVCCVCVVCV	0	100	0	0	0	110	0	0
CVCCCVCCVVCCVCCV	0	100	0	0	0	1	0	0
CVCCCVCCVVCV	0	100	0	0	0	58	0	0
CVCCCVCCVVCVCCVV	0	100	0	0	0	6	0	0
CVCCCVCCVVCVCV	0	52.38095238	47.61904762	0	0	11	10	0
CVCCCVCCVVCVCVV	0	100	0	0	0	1	0	0
CVCCCVCCVVCVV	0	0	100	0	0	0	1	0
CVCCCVCVCCVCCV	0	98.53658537	1.463414634	0	0	404	6	0
CVCCCVCVCCVCV	0	70.71129707	29.28870293	0	0	507	210	0
CVCCCVCVCCVCVV	0	100	0	0	0	2	0	0
CVCCCVCVCCVVCV	0	100	0	0	0	4	0	0
CVCCCVCVCVCCCV	0	100	0	0	0	7	0	0
CVCCCVCVCVCCV	0	99.33510638	0.664893617	0	0	747	5	0
CVCCCVCVCVCV	0	81.74273859	12.44813278	5.809128631	0	197	30	14
CVCCCVCVCVCVV	0	100	0	0	0	95	0	0
CVCCCVCVCVV	0	100	0	0	0	11	0	0
CVCCCVCVCVVCV	0	100	0	0	0	326	0	0
CVCCCVCVVCCV	0	100	0	0	0	120	0	0
CVCCCVCVVCCVCV	0	0	100	0	0	0	2	0
CVCCCVCVVCV	0	100	0	0	0	351	0	0
CVCCCVCVVCVCCV	0	100	0	0	0	59	0	0
CVCCCVCVVCVCV	0	80	20	0	0	4	1	0
CVCCCVCVVCVV	0	100	0	0	0	1	0	0
CVCCCVVCCCVVCV	0	0	100	0	0	0	1	0
CVCCCVVCCVCV	0	3.703703704	96.2962963	0	0	1	26	0
CVCCCVVCCVCVCV	0	50	50	0	0	1	1	0
CVCCCVVCVCCV	0	60	40	0	0	3	2	0
CVCCCVVCVCV	0	0	100	0	0	0	20	0
CVCCCVVCVCVCCV	0	100	0	0	0	1	0	0
CVCCCVVCVCVCV	0	0	100	0	0	0	3	0
CVCCCVVCVV	0	6.25	93.75	0	0	1	15	0
CVCCCVVCVVCV	0	100	0	0	0	9	0	0
CVCCCVVCVVCVCV	0	0	100	0	0	0	1	0
CVCCVCCCVCCVCV	0	81.81818182	18.18181818	0	0	18	4	0
CVCCVCCCVCCVVCV	0	100	0	0	0	4	0	0
CVCCVCCCVCVCCV	0	97.22222222	2.777777778	0	0	35	1	0
CVCCVCCCVCVCV	0	17.64705882	82.35294118	0	0	9	42	0
CVCCVCCCVCVVCV	0	100	0	0	0	170	0	0
CVCCVCCCVVCCV	0	100	0	0	0	2	0	0
CVCCVCCCVVCCVCV	0	0	100	0	0	0	1	0
CVCCVCCCVVCV	0	100	0	0	0	7	0	0
CVCCVCCCVVCVCCV	0	100	0	0	0	4	0	0
CVCCVCCCVVCVCV	0	98.21428571	1.785714286	0	0	55	1	0
CVCCVCCVCCCVCV	0	100	0	0	0	8	0	0
CVCCVCCVCCCVVCCV	0	100	0	0	0	4	0	0
CVCCVCCVCCCVVCV	0	85.71428571	14.28571429	0	0	6	1	0
CVCCVCCVCCVCCV	0	96.38554217	3.614457831	0	0	240	9	0
CVCCVCCVCCVCV	0	55.12820513	43.58974359	1.282051282	0	215	170	5
CVCCVCCVCCVCVV	0	100	0	0	0	4	0	0
CVCCVCCVCCVVCCV	0	100	0	0	0	19	0	0
CVCCVCCVCCVVCV	0	96.96969697	3.03030303	0	0	32	1	0
CVCCVCCVCVCCCV	0	100	0	0	0	1	0	0
CVCCVCCVCVCCV	0	98.07692308	1.923076923	0	0	1275	25	0
CVCCVCCVCVCCVV	0	100	0	0	0	39	0	0
CVCCVCCVCVCV	0	25.16891892	73.1981982	1.632882883	0	447	1300	29
CVCCVCCVCVCVV	0	100	0	0	0	27	0	0
CVCCVCCVCVV	0	60.9561753	39.0438247	0	0	153	98	0
CVCCVCCVCVVCCCV	0	100	0	0	0	3	0	0
CVCCVCCVCVVCCV	0	100	0	0	0	4	0	0
CVCCVCCVCVVCV	0	100	0	0	0	854	0	0
CVCCVCCVVCCV	0	100	0	0	0	5	0	0
CVCCVCCVVCCVCCV	0	100	0	0	0	83	0	0
CVCCVCCVVCCVCV	0	52.77777778	47.22222222	0	0	19	17	0
CVCCVCCVVCV	0	99.36305732	0.636942675	0	0	156	1	0
CVCCVCCVVCVCCCV	0	100	0	0	0	2	0	0
CVCCVCCVVCVCCV	0	99.30555556	0.694444444	0	0	143	1	0
CVCCVCCVVCVCV	0	76.43097643	23.56902357	0	0	227	70	0
CVCCVCCVVCVCVV	0	100	0	0	0	25	0	0
CVCCVCCVVCVV	0	41.66666667	58.33333333	0	0	5	7	0
CVCCVCVCCCVCCCV	0	100	0	0	0	1	0	0
CVCCVCVCCCVCCV	0	100	0	0	0	10	0	0
CVCCVCVCCCVCV	0	96.77419355	3.225806452	0	0	30	1	0
CVCCVCVCCCVVCV	0	50	0	50	0	1	0	1
CVCCVCVCCVCCCV	0	100	0	0	0	6	0	0
CVCCVCVCCVCCV	0	96.33333333	3.666666667	0	0	578	22	0
CVCCVCVCCVCCVV	0	100	0	0	0	18	0	0
CVCCVCVCCVCV	0	78.802589	21.08953614	0.107874865	0	1461	391	2
CVCCVCVCCVCVV	0	100	0	0	0	2	0	0
CVCCVCVCCVV	0	0	100	0	0	0	3	0
CVCCVCVCCVVCCV	0	100	0	0	0	39	0	0
CVCCVCVCCVVCV	0	96.44970414	3.550295858	0	0	163	6	0
CVCCVCVCCVVV	0	100	0	0	0	2	0	0
CVCCVCVCVCCCV	0	100	0	0	0	15	0	0
CVCCVCVCVCCV	0	96.28647215	3.713527851	0	0	1452	56	0
CVCCVCVCVCV	0	77.12204549	20.76705812	2.110896388	0	5188	1397	142
CVCCVCVCVCVV	0	100	0	0	0	153	0	0
CVCCVCVCVV	0	72.74074074	27.25925926	0	0	491	184	0
CVCCVCVCVVCCV	0	100	0	0	0	187	0	0
CVCCVCVCVVCV	0	98.78524946	1.214750542	0	0	2277	28	0
CVCCVCVCVVV	0	100	0	0	0	6	0	0
CVCCVCVVCCCV	0	100	0	0	0	1	0	0
CVCCVCVVCCCVCCV	0	100	0	0	0	7	0	0
CVCCVCVVCCCVCV	0	100	0	0	0	1	0	0
CVCCVCVVCCCAVCV	0	100	0	0	0	1	0	0
CVCCVCVVCCV	0	100	0	0	0	299	0	0
CVCCVCVVCCVCCV	0	100	0	0	0	7	0	0
CVCCVCVVCCVCV	0	72.58064516	27.41935484	0	0	45	17	0
CVCCVCVVCV	0	87.89237668	1.98590647	10.12171685	0	1372	31	158
CVCCVCVVCVCCCV	0	100	0	0	0	1	0	0
CVCCVCVVCVCCV	0	92.64705882	7.352941176	0	0	126	10	0
CVCCVCVVCVCV	0	84.90196078	14.31372549	0.784313725	0	433	73	4
CVCCVCVVCVCVV	0	100	0	0	0	5	0	0
CVCCVCVVCVV	0	100	0	0	0	1	0	0
CVCCVCVVCVVCV	0	100	0	0	0	71	0	0
CVCCVCVVV	0	100	0	0	0	13	0	0
CVCCVCVVVCCV	0	100	0	0	0	6	0	0
CVCCVCVVVCV	0	100	0	0	0	17	0	0
CVCCVVCCCVCCV	0	100	0	0	0	2	0	0
CVCCVVCCCVCV	0	100	0	0	0	1	0	0
CVCCVVCCCVCVV	0	100	0	0	0	4	0	0
CVCCVVCCCVVVV	0	100	0	0	0	1	0	0
CVCCVVCCVCCV	0	100	0	0	0	48	0	0
CVCCVVCCVCCVCCV	0	100	0	0	0	1	0	0
