CV-structure	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk
CCVVCVCV	0	94.3627451	5.392156863	0.245098039	0	385	22	1
CCVVCVCVCCV	0	96.71361502	3.286384977	0	0	206	7	0
CCVVCVCVCV	0	16.70951157	82.51928021	0.771208226	0	65	321	3
CCVVCVCVV	0	100	0	0	0	5	0	0
CCVVCVCVVCV	0	100	0	0	0	188	0	0
CCVVCVCVVV	0	100	0	0	0	2	0	0
CCVVCVVCV	0	100	0	0	0	134	0	0
CCVVCVVCVCV	0	0	100	0	0	0	9	0
CCVVVCCVCCV	0	100	0	0	0	2	0	0
CCVVVCCVCV	0	51.70454545	48.29545455	0	0	91	85	0
CCVVVCCVCVV	0	100	0	0	0	23	0	0
CCVVVCCVVCV	0	100	0	0	0	1	0	0
CCVVVCVCV	0	100	0	0	0	1	0	0
CCVVVCVV	0	100	0	0	0	3	0	0
CCVVVCVVCV	0	100	0	0	0	79	0	0
CVCCCCVCCV	0	100	0	0	0	1	0	0
CVCCCCVCV	0	0	100	0	0	0	1	0
CVCCCCVCVCCV	0	100	0	0	0	1	0	0
CVCCCCVCVVCV	0	100	0	0	0	2	0	0
CVCCCVCCCVCV	0	100	0	0	0	22	0	0
CVCCCVCCV	0	100	0	0	0	1	0	0
CVCCCVCCVCCCV	0	100	0	0	0	1	0	0
CVCCCVCCVCCV	0	90.3030303	9.696969697	0	0	447	48	0
CVCCCVCCVCCVV	0	100	0	0	0	22	0	0
CVCCCVCCVCV	0	74.35549525	25.57666214	0.067842605	0	1096	377	1
CVCCCVCCVCVV	0	100	0	0	0	2	0	0
CVCCCVCCVV	0	100	0	0	0	6	0	0
CVCCCVCCVVCCV	0	100	0	0	0	21	0	0
CVCCCVCCVVCV	0	99.66442953	0.33557047	0	0	297	1	0
CVCCCVCV	0	100	0	0	0	1	0	0
CVCCCVCVCCCV	0	100	0	0	0	1	0	0
CVCCCVCVCCV	0	97.56592292	2.434077079	0	0	962	24	0
CVCCCVCVCCVV	0	100	0	0	0	55	0	0
CVCCCVCVCV	0	79.96902426	19.30820857	0.722767166	0	1549	374	14
CVCCCVCVCVV	0	83.33333333	16.66666667	0	0	15	3	0
CVCCCVCVV	0	100	0	0	0	51	0	0
CVCCCVCVVCCV	0	100	0	0	0	10	0	0
CVCCCVCVVCV	0	99.78494624	0.215053763	0	0	928	2	0
CVCCCVCVVV	0	100	0	0	0	1	0	0
CVCCCVVCCV	0	100	0	0	0	181	0	0
CVCCCVVCCVCCV	0	100	0	0	0	18	0	0
CVCCCVVCCVCV	0	70.58823529	29.41176471	0	0	12	5	0
CVCCCVVCCVV	0	100	0	0	0	2	0	0
CVCCCVVCV	0	99.15014164	0.849858357	0	0	700	6	0
CVCCCVVCVCCCV	0	0	100	0	0	0	1	0
CVCCCVVCVCCV	0	64.86486486	35.13513514	0	0	24	13	0
CVCCCVVCVCV	0	40.84507042	59.15492958	0	0	29	42	0
CVCCCVVCVV	0	100	0	0	0	8	0	0
CVCCCVVCVVV	0	100	0	0	0	1	0	0
CVCCCVVVCCV	0	100	0	0	0	15	0	0
