ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
lde	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ldi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ldo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lfi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lfo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lga	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lge	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lgi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lgo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lla	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	42	NA	19	NA	NA	NA	NA	NA	NA	NA	NA	NA
lle	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	28	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA
lli	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	15	46	NA	17	NA	NA	2	NA	NA	NA	NA	NA	NA
llo	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	16	47	NA	20	NA	NA	2	NA	NA	NA	NA	NA	NA
lma	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lme	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lmi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lmo	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lsa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lse	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
lsi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lso	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSO	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lta	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
lte	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lti	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lto	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	14	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
lva	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lve	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lvi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lvo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lza	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lze	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lzi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lzo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mba	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
mbe	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mbi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mbo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mma	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
mme	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mmi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
mmo	100	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	2	43	NA	38	NA	NA	6	NA	1	NA	NA	NA	NA
mpa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpe	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpo	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
