ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
ica	100	15.3846153846154	84.6153846153846	4	96	NA	NA	100	NA	NA	100	NA	100	NA	1	6	33	2	48	NA	NA	19	NA	NA	2	NA	2	NA
ice	100	50	50	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	2	10	10	7	NA	NA	6	NA	NA	NA	NA	NA	NA	NA
ici	100	19.047619047619	80.9523809523809	22.5	77.5	NA	8.33333333333333	91.6666666666667	NA	NA	100	NA	100	NA	2	8	34	9	31	NA	1	11	NA	NA	1	NA	2	NA
ico	100	12.1212121212121	87.8787878787879	NA	100	NA	NA	100	NA	NA	100	NA	100	NA	2	4	29	NA	42	NA	NA	18	NA	NA	3	NA	2	NA
ida	100	13.0434782608696	86.9565217391304	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	5	3	20	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ide	100	23.0769230769231	76.9230769230769	60	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	20	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
idi	100	17.3913043478261	82.6086956521739	50	50	NA	100	NA	NA	NA	NA	NA	NA	NA	8	4	19	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA
ido	100	12	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	3	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ifa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ifo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iga	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ige	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
igi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
igo	100	60	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ila	100	27.2727272727273	72.7272727272727	50	50	NA	33.3333333333333	66.6666666666667	NA	NA	NA	NA	NA	NA	4	3	8	3	3	NA	1	2	NA	NA	NA	NA	NA	NA
ile	100	40.625	59.375	14.2857142857143	85.7142857142857	NA	7.69230769230769	92.3076923076923	NA	NA	100	NA	100	NA	3	13	19	2	12	NA	1	12	NA	NA	7	NA	1	NA
ili	100	44.4444444444444	55.5555555555556	7.14285714285714	92.8571428571429	NA	9.09090909090909	90.9090909090909	NA	NA	100	NA	NA	NA	3	12	15	1	13	NA	1	10	NA	NA	7	NA	NA	NA
ilo	100	27.2727272727273	72.7272727272727	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	2	3	8	NA	6	NA	NA	2	NA	NA	NA	NA	NA	NA
ima	100	14.2857142857143	85.7142857142857	NA	100	NA	NA	100	NA	NA	100	NA	100	NA	4	2	12	NA	27	NA	NA	25	NA	NA	8	NA	4	NA
ime	100	38.4615384615385	61.5384615384615	NA	100	NA	NA	100	NA	NA	100	NA	100	NA	3	5	8	NA	13	NA	NA	17	NA	NA	4	NA	1	NA
imi	100	10.5263157894737	89.4736842105263	NA	100	NA	NA	100	NA	NA	100	NA	100	NA	2	2	17	NA	25	NA	NA	22	NA	NA	9	NA	2	NA
imo	100	7.69230769230769	92.3076923076923	NA	100	NA	NA	100	NA	NA	100	NA	100	NA	2	1	12	NA	56	NA	NA	36	NA	NA	22	NA	4	NA
ina	100	87.8378378378378	12.1621621621622	93.1506849315068	6.84931506849315	NA	87.5	12.5	NA	NA	NA	NA	NA	NA	4	65	9	68	5	NA	7	1	NA	NA	NA	NA	NA	NA
ine	100	74.5454545454545	25.4545454545455	87.037037037037	12.962962962963	NA	75	25	NA	NA	NA	NA	NA	NA	3	41	14	47	7	NA	6	2	NA	NA	NA	NA	NA	NA
ini	100	80.8823529411765	19.1176470588235	92.2077922077922	7.79220779220779	NA	77.7777777777778	22.2222222222222	NA	NA	NA	NA	NA	NA	6	55	13	71	6	NA	7	2	NA	NA	NA	NA	NA	NA
