ending	B_%PULT_Tk	C_%PULT_Tk	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	N_%APULT_Tk	NU_%ULT_Tk	NU_%PULT_Tk	P_%PULT_Tk	R_%PULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	V_%APULT_Tk	X_%PULT_Tk	B_nPULT_Tk	C_nPULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	N_nAPULT_Tk	NU_nULT_Tk	NU_nPULT_Tk	P_nPULT_Tk	R_nPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	X_nPULT_Tk
cre	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	0	45	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cri	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	86.9565217391304	13.0434782608696	NA	NA	NA	NA	NA	0	11	0	0	35	0	NA	NA	NA	NA	NA	NA	NA	0	20	3	NA	NA	NA
cro	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	91.5584415584416	8.44155844155844	100	0	NA	NA	NA	0	10	0	0	84	0	NA	NA	NA	NA	NA	NA	NA	0	141	13	1	0	NA
cru	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
csa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA
cta	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA
cto	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA
ctu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA
dda	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	51	0	0	132	0	NA	NA	NA	NA	NA	NA	NA	0	6	0	2	0	NA
dde	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	0	23	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88	0	NA
