ending	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
oge	0	100	0	0	0	4	0	0
ogi	0	23.1372549019608	76.8627450980392	0	0	59	196	0
ogo	0	51.1591962905719	48.8408037094281	0	0	662	632	0
ogu	0	100	0	0	0	4	0	0
oja	0	100	0	0	0	3	0	0
ojo	0	100	0	0	0	3	0	0
oka	0	100	0	0	0	16	0	0
oke	0	100	0	0	0	24	0	0
oko	0	100	0	0	0	4	0	0
ola	0	49.0131059529449	50.9868940470551	0	0	3104	3229	0
ole	0.0344115622849277	51.892635925671	48.0557467309016	0.0172057811424639	2	3016	2793	1
oli	0	20.3342128408091	79.6657871591908	0	0	1156	4529	0
olo	0	49.6207784773898	50.3792215226102	0	0	6935	7041	0
oma	0	96.8057702215353	3.19422977846471	0	0	1879	62	0
ome	0.0458986295980591	99.5672414923612	0.386859878040784	0	7	15185	59	0
omi	0	55.5699481865285	44.4300518134715	0	0	429	343	0
omo	0	90.5192761605035	9.48072383949646	0	0	2301	241	0
ona	0	98.7265009096422	1.27349909035779	0	0	3256	42	0
one	0	99.3397652498666	0.660234750133381	0	0	44687	297	0
oni	0	99.2325232189533	0.76747678104666	0	0	17843	138	0
ono	0	64.8976580220261	34.9930314541032	0.109310523870686	0	23748	12805	40
onu	0	100	0	0	0	201	0	0
opa	0	100	0	0	0	724	0	0
ope	0	18.4210526315789	81.5789473684211	0	0	7	31	0
opi	0	77.0642201834862	22.9357798165138	0	0	84	25	0
opo	0	99.4073557608506	0.592644239149381	0	0	5703	34	0
ora	0	98.1879552318351	1.81204476816486	0	0	11054	204	0
ore	0	98.8539460105372	1.14605398946282	0	0	18200	211	0
ori	0	99.5656169075265	0.434383092473478	0	0	11919	52	0
oro	0	98.6896962477665	1.31030375223347	0	0	8285	110	0
osa	0	100	0	0	0	7620	0	0
ose	0	99.931833674165	0.0681663258350375	0	0	2932	2	0
osi	0	62.8588697491689	37.1411302508311	0	0	2080	1229	0
oso	0	100	0	0	0	3188	0	0
ota	0	97.7313974591652	2.26860254083485	0	0	1077	25	0
ote	0.568181818181818	98.8636363636364	0.568181818181818	0	4	696	4	0
oti	0	95.6687898089172	4.3312101910828	0	0	751	34	0
oto	0	98.744019138756	1.25598086124402	0	0	1651	21	0
otu	0	100	0	0	0	3	0	0
ova	0	86.2261669953978	13.7738330046022	0	0	2623	419	0
ove	0	99.8263512046885	0.173648795311483	0	0	4599	8	0
ovi	0	88.8633754305396	11.1366245694604	0	0	774	97	0
ovo	0	95.863309352518	4.13669064748201	0	0	2665	115	0
oya	0	100	0	0	0	5	0	0
oza	0	100	0	0	0	4	0	0
ozi	0	100	0	0	0	175	0	0
uba	0	98.8636363636364	1.13636363636364	0	0	87	1	0
ube	0	80.9523809523809	19.047619047619	0	0	17	4	0
ubi	0	72.5352112676056	27.4647887323944	0	0	103	39	0
ubo	0	31.5789473684211	68.4210526315789	0	0	54	117	0
uca	0	99.7630331753555	0.23696682464455	0	0	421	1	0
uce	0	96.3213939980639	3.67860600193611	0	0	995	38	0
uci	0	90.9090909090909	9.09090909090909	0	0	170	17	0
uco	0	100	0	0	0	149	0	0
uda	0	100	0	0	0	173	0	0
ude	0	100	0	0	0	491	0	0
udi	0	100	0	0	0	489	0	0
udo	0	100	0	0	0	279	0	0
ufa	0	100	0	0	0	20	0	0
ufe	0	100	0	0	0	4	0	0
ufi	0	100	0	0	0	14	0	0
ufo	0	100	0	0	0	55	0	0
uga	0	96.7391304347826	3.26086956521739	0	0	356	12	0
uge	0	30.5555555555556	69.4444444444444	0	0	11	25	0
ugi	0	37.2262773722628	62.7737226277372	0	0	51	86	0
ugo	0	94.8453608247423	5.15463917525773	0	0	92	5	0
uja	0	100	0	0	0	12	0	0
ujo	0	100	0	0	0	2	0	0
uka	0	100	0	0	0	1	0	0
uki	0	100	0	0	0	10	0	0
ula	0	35.4471544715447	64.5528455284553	0	0	218	397	0
ule	0	24.1379310344828	75.8620689655172	0	0	49	154	0
uli	0	39.7163120567376	60.2836879432624	0	0	56	85	0
ulo	0	19.5488721804511	80.4511278195489	0	0	26	107	0
ulu	0	100	0	0	0	17	0	0
uma	0	94.4723618090452	5.52763819095477	0	0	188	11	0
ume	0	99.5786516853933	0.421348314606742	0	0	709	3	0
umi	0	97.4712643678161	2.52873563218391	0	0	424	11	0
umo	0	98.7834549878345	1.21654501216545	0	0	406	5	0
una	0	100	0	0	0	32720	0	0
une	0	100	0	0	0	1739	0	0
uni	0	100	0	0	0	1787	0	0
uno	0	100	0	0	0	7659	0	0
upa	0	14.2857142857143	85.7142857142857	0	0	30	180	0
upe	0	100	0	0	0	12	0	0
upi	0	75.6756756756757	24.3243243243243	0	0	56	18	0
upo	0	92.8104575163399	7.18954248366013	0	0	142	11	0
ura	0	99.5574242088958	0.442575791104227	0	0	8998	40	0
ure	0.390117035110533	98.5045513654096	1.10533159947984	0	18	4545	51	0
uri	0	96.2797619047619	3.7202380952381	0	0	647	25	0
uro	0.352267723469837	96.9616908850727	2.68604139145751	0	8	2202	61	0
uru	0	100	0	0	0	20	0	0
usa	0	100	0	0	0	2390	0	0
use	0.140252454417952	99.859747545582	0	0	1	712	0	0
usi	0	100	0	0	0	614	0	0
uso	0	100	0	0	0	1899	0	0
uta	0	98.0628118579395	1.93718814206046	0	0	3341	66	0
ute	0	98.9431968295905	1.05680317040951	0	0	1498	16	0
uti	0	99.8491249245625	0.150875075437538	0	0	3309	5	0
uto	0	99.9619337647507	0.0380662352493338	0	0	15756	6	0
utu	0	100	0	0	0	2	0	0
uva	0	100	0	0	0	25	0	0
uve	0	100	0	0	0	199	0	0
uvi	0	100	0	0	0	3	0	0
uxe	0	100	0	0	0	3	0	0
uzi	0	100	0	0	0	16	0	0
uzo	0	100	0	0	0	3	0	0
