ending	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S7_%PAPULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S10_%APULT_Tk	S11_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S7_nPAPULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk	S10_nAPULT_Tk	S11_nPULT_Tk
eni	0	100	0	100	0	0	27.3684210526316	72.6315789473684	0	61.5384615384615	38.4615384615385	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	512	0	164	0	0	52	138	0	16	10	0	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
eno	0	100	0	100	0	0	38.8329979879276	61.1670020120724	0	71.4285714285714	28.5714285714286	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3365	0	2191	0	0	193	304	0	15	6	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
enu	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
epa	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
epe	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	138	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
epi	0	100	66.6666666666667	33.3333333333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	22	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
epo	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
era	0	100	0	45.8501379749522	54.1498620250478	0	64.131455399061	35.868544600939	0	23.2394366197183	76.7605633802817	0	62.5	37.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	15964	0	2160	2551	0	683	382	0	33	109	0	10	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ere	5.70776255707763	94.2922374429224	0	29.4473382184162	70.5526617815838	0	24.4264194669757	75.5735805330243	0	18.007662835249	81.992337164751	0	64.2857142857143	35.7142857142857	0	100	0	0	NA	NA	NA	NA	NA	NA	25	413	0	6671	15983	0	2108	6522	0	141	642	0	18	10	0	1	0	0	NA	NA	NA	NA	NA	NA
eri	0	100	0	53.7140854940435	46.2859145059566	0	81.1101905550953	18.8898094449047	0	89.6309314586995	10.3690685413005	0	37.5	62.5	0	66.6666666666667	33.3333333333333	0	NA	NA	NA	NA	NA	NA	0	2845	0	1533	1321	0	979	228	0	510	59	0	6	10	0	2	1	0	NA	NA	NA	NA	NA	NA
ero	0	100	0	40.6293222683264	59.3706777316736	0	19.4504699927693	80.5495300072307	0	3.16742081447964	96.8325791855204	0	2.94117647058824	97.0588235294118	0	0	100	0	0	100	NA	NA	NA	NA	0	3347	0	2350	3434	0	807	3342	0	14	428	0	4	132	0	0	25	0	0	1	NA	NA	NA	NA
esa	0	100	0	100	0	0	100	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1543	0	2842	0	0	56	0	0	6	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ese	0	100	0	100	0	0	100	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1896	0	3838	0	0	1457	0	0	110	0	0	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
esi	0	100	0	91.7640807651435	8.23591923485654	0	57.6794657762938	42.3205342237062	0	76.0330578512397	23.9669421487603	0	20	80	0	0	100	0	NA	NA	NA	NA	NA	NA	0	1942	0	1727	155	0	691	507	0	92	29	0	2	8	0	0	1	0	NA	NA	NA	NA	NA	NA
eso	0	100	0	99.7665369649805	0.233463035019455	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2077	0	1282	3	0	137	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eta	0	100	0	96.5853658536585	3.41463414634146	0	64.7058823529412	35.2941176470588	0	92.3076923076923	7.69230769230769	0	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	0	389	0	792	28	0	66	36	0	12	1	0	NA	NA	NA	2	0	0	NA	NA	NA	NA	NA	NA
