ending	B_%PULT_Ty	C_%PULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%ULT_Ty	NU_%PULT_Ty	P_%PULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	X_%PULT_Ty	B_nPULT_Ty	C_nPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nULT_Ty	NU_nPULT_Ty	P_nPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	B_nAPULT_Ty	X_nPULT_Ty
rde	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	8	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	5	NA	NA
rdi	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	100	NA	NA	1	1	NA	54	NA	NA	17	NA	NA	NA	NA	NA	1	NA	NA	NA	42	NA	5	NA	NA
rdo	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	100	100	NA	NA	100	NA	100	NA	NA	1	NA	NA	39	NA	NA	17	NA	NA	NA	NA	NA	1	1	NA	NA	40	NA	8	NA	NA
rdu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
rfa	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rfe	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rfi	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rfo	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rga	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	9	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	10	NA	NA
rge	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	18	NA	NA
