ending	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk
ick	0	97.752808988764	2.24719101123596	NA	NA	NA	NA	NA	NA	NA	0	87	2	NA	NA	NA	NA	NA	NA	NA
ics	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	6	0	NA
idy	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA	NA	NA	NA	NA
igy	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA
ill	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	7	0	0	NA
ilm	NA	NA	NA	NA	NA	NA	29.1666666666667	70.8333333333333	0	NA	NA	NA	NA	NA	NA	NA	7	17	0	NA
ing	0	100	0	0	100	0	0	100	0	NA	0	10	0	0	37	0	0	59	0	NA
ins	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA
iny	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA
isc	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA
ish	0	100	0	NA	NA	NA	0	100	0	NA	0	15	0	NA	NA	NA	0	1	0	NA
ith	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	18	0	NA	NA	NA	NA	NA	NA	NA
ity	0	0	100	NA	NA	NA	0	100	0	NA	0	0	3	NA	NA	NA	0	1	0	NA
oby	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA
ock	NA	NA	NA	100	0	0	100	0	0	NA	NA	NA	NA	2	0	0	6	0	0	NA
oft	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	0	18	NA	NA	NA	NA	NA	NA	NA
olf	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA
oms	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA
omy	NA	NA	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA
ont	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	8	0	0	NA
ony	0	54.3478260869565	45.6521739130435	NA	NA	NA	0	100	0	NA	0	25	21	NA	NA	NA	0	4	0	NA
oph	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA
ord	11.4285714285714	88.5714285714286	0	NA	NA	NA	100	0	0	NA	4	31	0	NA	NA	NA	1	0	0	NA
org	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA
ort	37.037037037037	62.962962962963	0	100	0	0	36.3636363636364	63.6363636363636	0	NA	10	17	0	2	0	0	8	14	0	NA
