ending	%ULT_Tk	%PULT_Tk	%APULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk
lte	0	100	0	0	2830	0
lti	0	100	0	0	2574	0
lto	0	100	0	0	7303	0
ltu	0	100	0	0	2	0
lva	0	100	0	0	165	0
lve	0	100	0	0	87	0
lvi	0	100	0	0	91	0
lvo	0	100	0	0	216	0
lya	0	100	0	0	4	0
lza	0	100	0	0	133	0
lze	0	100	0	0	34	0
lzi	0	100	0	0	77	0
lzo	0	100	0	0	106	0
mba	0	100	0	0	541	0
mbe	0	100	0	0	521	0
mbi	0	100	0	0	500	0
mbo	0	100	0	0	378	0
mbu	0	100	0	0	2	0
mma	0	100	0	0	2451	0
mme	0	100	0	0	342	0
mmi	0	100	0	0	459	0
mmo	0	100	0	0	901	0
mno	0	100	0	0	2	0
mpa	0	100	0	0	620	0
mpe	0	100	0	0	170	0
mpi	0	100	0	0	1457	0
mpo	0	100	0	0	4990	0
nca	0	100	0	0	1445	0
nce	0	100	0	0	343	0
nci	0	100	0	0	238	0
nco	0	100	0	0	1907	0
nda	0	100	0	0	4226	0
nde	0	100	0	0	6472	0
ndi	0	100	0	0	3589	0
ndo	0	100	0	0	23881	0
nfa	0	100	0	0	39	0
nfe	0	100	0	0	3	0
nfi	0	100	0	0	32	0
nfo	0	100	0	0	117	0
nga	0	100	0	0	1321	0
nge	0	100	0	0	752	0
ngi	0	100	0	0	55	0
ngo	0	100	0	0	1844	0
ngu	0	100	0	0	2	0
nha	0	100	0	0	2	0
nho	0	100	0	0	1	0
nja	0	100	0	0	7	0
njo	0	100	0	0	4	0
nju	0	100	0	0	1	0
nka	0	100	0	0	30	0
nke	0	100	0	0	2	0
nki	0	0	100	0	0	13
nko	0	100	0	0	2	0
nna	0	100	0	0	2973	0
nne	0.0362844702467344	99.9637155297533	0	1	2755	0
nni	0	100	0	0	8735	0
nno	0	100	0	0	20653	0
nri	100	0	0	17	0	0
nsa	0	100	0	0	672	0
nse	0	100	0	0	484	0
nsi	0	100	0	0	451	0
nso	0	100	0	0	1778	0
nsu	0	100	0	0	1	0
nta	0	100	0	0	6595	0
nte	0	100	0	0	41345	0
nti	0	100	0	0	23092	0
nto	0	99.8709241218231	0.129075878176957	0	32497	42
ntu	0	100	0	0	10	0
nya	0	100	0	0	19	0
nza	0	100	0	0	18007	0
nze	0	100	0	0	3428	0
nzi	0	100	0	0	1078	0
nzo	0	100	0	0	1292	0
pha	0	100	0	0	4	0
phi	0	100	0	0	13	0
pla	0	70.8333333333333	29.1666666666667	0	17	7
ple	0	33.3333333333333	66.6666666666667	0	2	4
pli	0	83.8709677419355	16.1290322580645	0	26	5
plo	0	75	25	0	21	7
ppa	0	100	0	0	1064	0
ppe	0	100	0	0	957	0
ppi	0	100	0	0	775	0
ppo	0	100	0	0	3492	0
ppu	0	100	0	0	1	0
pra	0	100	0	0	736	0
pre	0	100	0	0	4961	0
pri	0	100	0	0	409	0
pro	0	100	0	0	131	0
psi	0	100	0	0	9	0
pso	0	100	0	0	4	0
pta	0	100	0	0	12	0
pte	0	100	0	0	3	0
pti	0	100	0	0	13	0
pto	0	100	0	0	2	0
rba	0	100	0	0	336	0
rbe	0	100	0	0	123	0
rbi	0	100	0	0	271	0
rbo	0	100	0	0	291	0
rbu	0	100	0	0	1	0
rca	0	100	0	0	2538	0
rce	0	100	0	0	99	0
rci	0	67.9830747531735	32.0169252468265	0	964	454
rco	0	100	0	0	1100	0
rcu	0	100	0	0	1	0
rda	0	100	0	0	1564	0
rde	0	100	0	0	681	0
rdi	0	100	0	0	2812	0
rdo	0	100	0	0	3734	0
rdu	0	100	0	0	3	0
rfa	0	100	0	0	3	0
rfe	0	100	0	0	4	0
rfi	0	100	0	0	1	0
rfo	0	100	0	0	1	0
rga	0	100	0	0	261	0
rge	0.985221674876847	99.0147783251232	0	2	201	0
rgi	0	100	0	0	36	0
rgo	0	100	0	0	773	0
rgu	0	100	0	0	1	0
rji	0	100	0	0	1	0
rka	0	100	0	0	2	0
rke	0	100	0	0	1	0
rko	0	100	0	0	26	0
rku	0	100	0	0	3	0
rla	0	88.7755102040816	11.2244897959184	0	2175	275
rle	0	81.9304152637486	18.0695847362514	0	730	161
rli	0	83.1558567279768	16.8441432720232	0	859	174
rlo	0	88.8610414926204	11.1389585073796	0	3191	400
rma	0	100	0	0	2792	0
rme	0	100	0	0	1329	0
rmi	0	87.212389380531	12.787610619469	0	1971	289
rmo	0	100	0	0	657	0
rna	0	100	0	0	1112	0
rne	0	89.9141630901288	10.0858369098712	0	1257	141
rni	0	100	0	0	2714	0
rno	0	100	0	0	8512	0
rpa	0	100	0	0	60	0
rpe	0	100	0	0	208	0
rpi	0	100	0	0	171	0
rpo	0	100	0	0	772	0
rra	0	100	0	0	2733	0
rre	0	100	0	0	1962	0
rri	0	100	0	0	401	0
rro	0	100	0	0	675	0
rru	0	100	0	0	1	0
rsa	0	100	0	0	2051	0
rse	0	100	0	0	3427	0
rsi	0	81.8529130850048	18.1470869149952	0	6856	1520
rso	0	100	0	0	7771	0
rta	0	100	0	0	4266	0
rte	0	100	0	0	8638	0
rti	0	97.2966144517433	2.7033855482567	0	3851	107
rto	0	100	0	0	7987	0
rtu	0	100	0	0	3	0
rva	0	100	0	0	448	0
rve	0	100	0	0	507	0
rvi	0	81.3449023861171	18.6550976138829	0	375	86
rvo	0	100	0	0	107	0
rza	0	100	0	0	1445	0
rze	0	100	0	0	467	0
rzi	0	100	0	0	327	0
rzo	0	100	0	0	1178	0
sbo	0	100	0	0	1	0
sca	0	100	0	0	1418	0
sce	0	100	0	0	3559	0
sci	0	100	0	0	419	0
sco	0	100	0	0	2265	0
scu	0	100	0	0	1	0
sda	0	100	0	0	2	0
sfa	0	100	0	0	12	0
sfi	0	100	0	0	5	0
sfo	0	100	0	0	1	0
sgi	0	100	0	0	2	0
sha	0	100	0	0	1	0
shi	0	100	0	0	9	0
ska	0	100	0	0	14	0
ske	0	100	0	0	3	0
sko	0	100	0	0	18	0
sla	0	100	0	0	1	0
slo	0	100	0	0	26	0
sma	0	100	0	0	185	0
sme	50	50	0	1	1	0
smi	0	100	0	0	377	0
smo	0	100	0	0	2723	0
spa	0	100	0	0	43	0
spe	0	100	0	0	20	0
spi	0	100	0	0	36	0
spo	0	100	0	0	16	0
ssa	0	100	0	0	5838	0
sse	0	100	0	0	8457	0
ssi	0	100	0	0	5310	0
sso	0	100	0	0	15581	0
ssu	0	100	0	0	4	0
sta	0	100	0	0	17963	0
ste	0	100	0	0	4912	0
sti	0	100	0	0	8108	0
sto	0	100	0	0	20091	0
tha	0	100	0	0	31	0
tho	0	100	0	0	1	0
tma	0	100	0	0	2	0
tmi	0	100	0	0	86	0
tmo	0	100	0	0	219	0
tna	0	100	0	0	15	0
tno	0	100	0	0	1	0
tra	0	99.4150197628458	0.58498023715415	0	6288	37
tre	0.64464141821112	99.3553585817889	0	48	7398	0
tri	0	89.9742516897329	10.0257483102671	0	5591	623
tro	0.00581970552290054	98.2831868707443	1.71099342373276	1	16888	294
tsi	0	100	0	0	16	0
tta	0	100	0	0	10055	0
tte	0.124343741365018	99.875656258635	0	9	7229	0
tti	0	100	0	0	14219	0
tto	0	100	0	0	36313	0
ttu	0	100	0	0	1	0
vra	0	100	0	0	205	0
vre	0	100	0	0	54	0
vro	0	100	0	0	1	0
vve	0	100	0	0	7	0
vvi	0	100	0	0	7	0
xpo	0	100	0	0	17	0
